sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Newcastle United,Chelsea FC,2,2
25/26,Bournemouth,Burnley,1,1
25/26,Wolverhampton Wanderers,Brentford,0,2
25/26,Brighton & Hove Albion,Sunderland,0,0
25/26,Manchester City,West Ham United,3,0
25/26,Tottenham Hotspur,Liverpool,1,2
25/26,Leeds United,Crystal Palace,4,1
25/26,Everton,Arsenal,0,1
25/26,Aston Villa,Manchester United,2,1
25/26,Fulham,Nottingham Forest,1,0
24/25,Aston Villa FC,Manchester City FC,2,1
24/25,Brentford FC,Nottingham Forest FC,0,2
24/25,Ipswich Town FC,Newcastle United FC,0,4
24/25,West Ham United FC,Brighton & Hove Albion FC,1,1
24/25,Crystal Palace FC,Arsenal FC,1,5
24/25,Everton FC,Chelsea FC,0,0
24/25,Fulham FC,Southampton FC,0,0
24/25,Leicester City FC,Wolverhampton Wanderers FC,0,3
24/25,Manchester United FC,AFC Bournemouth,0,3
24/25,Tottenham Hotspur FC,Liverpool FC,3,6
23/24,Nottingham Forest FC,Tottenham Hotspur FC,0,2
23/24,Chelsea FC,Sheffield United FC,2,0
23/24,Manchester City FC,Crystal Palace FC,2,2
23/24,Newcastle United FC,Fulham FC,3,0
23/24,Burnley FC,Everton FC,0,2
23/24,Arsenal FC,Brighton & Hove Albion FC,2,0
23/24,Brentford FC,Aston Villa FC,1,2
23/24,West Ham United FC,Wolverhampton Wanderers FC,3,0
23/24,Liverpool FC,Manchester United FC,0,0
23/24,AFC Bournemouth,Luton Town FC,4,3
22/23,Brentford FC,Tottenham Hotspur FC,2,2
22/23,Southampton FC,Brighton & Hove Albion FC,1,3
22/23,Leicester City FC,Newcastle United FC,0,3
22/23,Everton FC,Wolverhampton Wanderers FC,1,2
22/23,Crystal Palace FC,Fulham FC,0,3
22/23,Aston Villa FC,Liverpool FC,1,3
22/23,Arsenal FC,West Ham United FC,3,1
22/23,Chelsea FC,AFC Bournemouth,2,0
22/23,Manchester United FC,Nottingham Forest FC,3,0
22/23,Leeds United FC,Manchester City FC,1,3
21/22,Norwich City FC,Aston Villa FC,0,2
21/22,Manchester City FC,Leeds United FC,7,0
21/22,Crystal Palace FC,Southampton FC,2,2
21/22,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,0,1
21/22,Arsenal FC,West Ham United FC,2,0
21/22,Chelsea FC,Everton FC,1,1
21/22,Liverpool FC,Newcastle United FC,3,1
21/22,Leicester City FC,Tottenham Hotspur FC,2,3
21/22,Brentford FC,Manchester United FC,1,3
21/22,Burnley FC,Watford FC,0,0
20/21,Everton FC,West Ham United FC,0,1
20/21,Manchester United FC,Aston Villa FC,2,1
20/21,Tottenham Hotspur FC,Leeds United FC,3,0
20/21,Crystal Palace FC,Sheffield United FC,2,0
20/21,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,3,3
20/21,West Bromwich Albion FC,Arsenal FC,0,4
20/21,Newcastle United FC,Leicester City FC,1,2
20/21,Chelsea FC,Manchester City FC,1,3
20/21,Southampton FC,Liverpool FC,1,0
20/21,Burnley FC,Fulham FC,1,1
19/20,Liverpool FC,Watford FC,2,0
19/20,Burnley FC,Newcastle United,1,0
19/20,Chelsea FC,AFC Bournemouth,0,1
19/20,Leicester City,Norwich City,1,1
19/20,Sheffield United,Aston Villa,2,0
19/20,Southampton FC,West Ham United,0,1
19/20,Wolverhampton Wanderers,Tottenham Hotspur,1,2
19/20,Arsenal FC,Manchester City,0,3
19/20,Manchester United,Everton FC,1,1
19/20,Crystal Palace,Brighton & Hove Albion,1,1
18/19,Manchester City,Everton FC,3,1
18/19,Crystal Palace,Leicester City,1,0
18/19,Huddersfield Town,Newcastle United,0,1
18/19,Tottenham Hotspur,Burnley FC,1,0
18/19,Watford FC,Cardiff City,3,2
18/19,Wolverhampton Wanderers,AFC Bournemouth,2,0
18/19,Fulham FC,West Ham United,0,2
18/19,Brighton & Hove Albion,Chelsea FC,1,2
18/19,Southampton FC,Arsenal FC,3,2
18/19,Liverpool FC,Manchester United,3,1
17/18,Crystal Palace,Watford FC,2,1
17/18,Huddersfield Town,Chelsea FC,1,3
17/18,Burnley FC,Stoke City,1,0
17/18,Swansea City,Manchester City,0,4
17/18,Newcastle United,Everton FC,0,1
17/18,Southampton FC,Leicester City,1,4
17/18,Manchester United,AFC Bournemouth,1,0
17/18,West Ham United,Arsenal FC,0,0
17/18,Liverpool FC,West Bromwich Albion,0,0
17/18,Tottenham Hotspur,Brighton & Hove Albion,2,0
16/17,Middlesbrough FC,Swansea City,3,0
16/17,Stoke City,Leicester City,2,2
16/17,Sunderland AFC,Watford FC,1,0
16/17,West Ham United,Hull City,1,0
16/17,West Bromwich Albion,Manchester United,0,2
16/17,Crystal Palace,Chelsea FC,0,1
16/17,AFC Bournemouth,Southampton FC,1,3
16/17,Manchester City,Arsenal FC,2,1
16/17,Tottenham Hotspur,Burnley FC,2,1
16/17,Everton FC,Liverpool FC,0,1
15/16,Chelsea FC,Sunderland AFC,3,1
15/16,Everton FC,Leicester City,2,3
15/16,Manchester United,Norwich City,1,2
15/16,Southampton FC,Tottenham Hotspur,0,2
15/16,Stoke City,Crystal Palace,1,2
15/16,West Bromwich Albion,AFC Bournemouth,1,2
15/16,Newcastle United,Aston Villa,1,1
15/16,Swansea City,West Ham United,0,0
15/16,Watford FC,Liverpool FC,3,0
15/16,Arsenal FC,Manchester City,2,1
14/15,Aston Villa,Manchester United,1,1
14/15,Hull City,Swansea City,0,1
14/15,Queens Park Rangers,West Bromwich Albion,3,2
14/15,Southampton FC,Everton FC,3,0
14/15,Tottenham Hotspur,Burnley FC,2,1
14/15,West Ham United,Leicester City,2,0
14/15,Manchester City,Crystal Palace,3,0
14/15,Newcastle United,Sunderland AFC,0,1
14/15,Liverpool FC,Arsenal FC,2,2
14/15,Stoke City,Chelsea FC,0,2
13/14,Crystal Palace,Newcastle United,0,3
13/14,Fulham FC,Manchester City,2,4
13/14,Manchester United,West Ham United,3,1
13/14,Stoke City,Aston Villa,2,1
13/14,Sunderland AFC,Norwich City,0,0
13/14,West Bromwich Albion,Hull City,1,1
13/14,Liverpool FC,Cardiff City,3,1
13/14,Southampton FC,Tottenham Hotspur,2,3
13/14,Swansea City,Everton FC,1,2
13/14,Arsenal FC,Chelsea FC,0,0
12/13,Newcastle United,Manchester City,1,3
12/13,Liverpool FC,Aston Villa,1,3
12/13,Manchester United,Sunderland AFC,3,1
12/13,Norwich City,Wigan Athletic,2,1
12/13,Queens Park Rangers,Fulham FC,2,1
12/13,Stoke City,Everton FC,1,1
12/13,West Bromwich Albion,West Ham United,0,0
12/13,Tottenham Hotspur,Swansea City,1,0
12/13,Reading FC,Arsenal FC,2,5
12/13,Chelsea FC,Southampton FC,2,2
11/12,Blackburn Rovers,Bolton Wanderers,1,2
11/12,Wolverhampton Wanderers,Norwich City,2,2
11/12,Everton FC,Swansea City,1,0
11/12,Aston Villa,Arsenal FC,1,2
11/12,Manchester City,Stoke City,3,0
11/12,Newcastle United,West Bromwich Albion,2,3
11/12,Queens Park Rangers,Sunderland AFC,2,3
11/12,Wigan Athletic,Liverpool FC,0,0
11/12,Fulham FC,Manchester United,0,5
11/12,Tottenham Hotspur,Chelsea FC,1,1
10/11,Fulham FC,Sunderland AFC,0,0
10/11,Stoke City,Blackpool FC,0,1
10/11,Aston Villa,West Bromwich Albion,2,1
10/11,Everton FC,Wigan Athletic,0,0
10/11,West Ham United,Manchester City,1,3
10/11,Newcastle United,Liverpool FC,3,1
10/11,Tottenham Hotspur,Chelsea FC,1,1
10/11,Wolverhampton Wanderers,Birmingham City,1,0
10/11,Bolton Wanderers,Blackburn Rovers,2,1
10/11,Manchester United,Arsenal FC,1,0
09/10,Hull City,Everton FC,3,2
09/10,Bolton Wanderers,West Ham United,3,1
09/10,Birmingham City,Blackburn Rovers,2,1
09/10,Sunderland AFC,Aston Villa,0,2
09/10,Manchester United,Wolverhampton Wanderers,3,0
09/10,Chelsea FC,Portsmouth FC,2,1
09/10,Liverpool FC,Wigan Athletic,2,1
09/10,Burnley FC,Arsenal FC,1,1
09/10,Tottenham Hotspur,Manchester City,3,0
09/10,Stoke City,Fulham FC,3,2
08/09,Aston Villa,Bolton Wanderers,4,2
08/09,Middlesbrough FC,Arsenal FC,1,1
08/09,Tottenham Hotspur,Manchester United,0,0
08/09,Liverpool FC,Hull City,2,2
08/09,Manchester City,Everton FC,0,1
08/09,Stoke City,Fulham FC,0,0
08/09,Sunderland AFC,West Bromwich Albion,4,0
08/09,Wigan Athletic,Blackburn Rovers,3,0
08/09,Portsmouth FC,Newcastle United,0,3
08/09,Chelsea FC,West Ham United,1,1
07/08,Manchester City,Bolton Wanderers,4,2
07/08,Birmingham City,Reading FC,1,1
07/08,Derby County,Middlesbrough FC,0,1
07/08,Fulham FC,Newcastle United,0,1
07/08,Portsmouth FC,Tottenham Hotspur,0,1
07/08,Sunderland AFC,Aston Villa,1,1
07/08,West Ham United,Everton FC,0,2
07/08,Wigan Athletic,Blackburn Rovers,5,3
07/08,Liverpool FC,Manchester United,0,1
07/08,Arsenal FC,Chelsea FC,1,0
06/07,Tottenham Hotspur,Charlton Athletic,5,1
06/07,Bolton Wanderers,West Ham United,4,0
06/07,Middlesbrough FC,Wigan Athletic,1,1
06/07,Manchester United,Manchester City,3,1
06/07,Watford FC,Reading FC,0,0
06/07,Portsmouth FC,Everton FC,2,0
06/07,Liverpool FC,Fulham FC,4,0
06/07,Blackburn Rovers,Newcastle United,1,3
06/07,Chelsea FC,Arsenal FC,1,1
06/07,Sheffield United,Aston Villa,2,2
05/06,Sunderland AFC,Liverpool FC,0,2
05/06,Manchester City,Birmingham City,4,1
05/06,West Ham United,Newcastle United,2,4
05/06,Everton FC,Bolton Wanderers,0,4
05/06,Aston Villa,Manchester United,0,2
05/06,Portsmouth FC,West Bromwich Albion,1,0
05/06,Fulham FC,Blackburn Rovers,2,1
05/06,Wigan Athletic,Charlton Athletic,3,0
05/06,Middlesbrough FC,Tottenham Hotspur,3,3
05/06,Arsenal FC,Chelsea FC,0,2
04/05,Newcastle United,Portsmouth FC,1,1
04/05,Everton FC,Liverpool FC,1,0
04/05,Crystal Palace,Blackburn Rovers,0,0
04/05,Manchester City,Tottenham Hotspur,0,1
04/05,Southampton FC,Middlesbrough FC,2,2
04/05,Norwich City,Bolton Wanderers,3,2
04/05,West Bromwich Albion,Charlton Athletic,0,1
04/05,Arsenal FC,Chelsea FC,2,2
04/05,Aston Villa,Birmingham City,1,2
04/05,Fulham FC,Manchester United,1,1
03/04,Blackburn Rovers,Aston Villa,0,2
03/04,Bolton Wanderers,Arsenal FC,1,1
03/04,Charlton Athletic,Newcastle United,0,0
03/04,Everton FC,Leicester City,3,2
03/04,Fulham FC,Chelsea FC,0,1
03/04,Tottenham Hotspur,Manchester United,1,2
03/04,Southampton FC,Portsmouth FC,3,0
03/04,Manchester City,Leeds United,1,1
03/04,Wolverhampton Wanderers,Liverpool FC,1,1
03/04,Birmingham City,Middlesbrough FC,3,1
02/03,Charlton Athletic,Liverpool FC,2,0
02/03,Manchester United,Arsenal FC,2,0
02/03,Middlesbrough FC,West Ham United,2,2
02/03,Southampton FC,Birmingham City,2,0
02/03,Everton FC,Chelsea FC,1,3
02/03,Fulham FC,Leeds United,1,0
02/03,Aston Villa,Newcastle United,0,1
02/03,Bolton Wanderers,Blackburn Rovers,1,1
02/03,Tottenham Hotspur,West Bromwich Albion,3,1
02/03,Sunderland AFC,Manchester City,0,3
