sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,West Ham United,Wolverhampton Wanderers,4,0
25/26,Arsenal,Bournemouth,1,2
25/26,Burnley,Brighton & Hove Albion,0,2
25/26,Brentford,Everton,2,2
25/26,Liverpool,Fulham,2,0
25/26,Crystal Palace,Newcastle United,2,1
25/26,Nottingham Forest,Aston Villa,1,1
25/26,Sunderland,Tottenham Hotspur,1,0
25/26,Chelsea FC,Manchester City,0,3
25/26,Manchester United,Leeds United,1,2
24/25,Manchester City FC,Crystal Palace FC,5,2
24/25,Brighton & Hove Albion FC,Leicester City FC,2,2
24/25,Nottingham Forest FC,Everton FC,0,1
24/25,Southampton FC,Aston Villa FC,0,3
24/25,Arsenal FC,Brentford FC,1,1
24/25,Chelsea FC,Ipswich Town FC,2,2
24/25,Liverpool FC,West Ham United FC,2,1
24/25,Wolverhampton Wanderers FC,Tottenham Hotspur FC,4,2
24/25,Newcastle United FC,Manchester United FC,4,1
24/25,AFC Bournemouth,Fulham FC,1,0
23/24,Crystal Palace FC,Manchester City FC,2,4
23/24,Aston Villa FC,Brentford FC,3,3
23/24,Everton FC,Burnley FC,1,0
23/24,Fulham FC,Newcastle United FC,0,1
23/24,Luton Town FC,AFC Bournemouth,2,1
23/24,Wolverhampton Wanderers FC,West Ham United FC,1,2
23/24,Brighton & Hove Albion FC,Arsenal FC,0,3
23/24,Manchester United FC,Liverpool FC,2,2
23/24,Sheffield United FC,Chelsea FC,2,2
23/24,Tottenham Hotspur FC,Nottingham Forest FC,3,1
22/23,Arsenal FC,Southampton FC,3,3
22/23,Fulham FC,Leeds United FC,2,1
22/23,Liverpool FC,Nottingham Forest FC,3,2
22/23,Leicester City FC,Wolverhampton Wanderers FC,2,1
22/23,Crystal Palace FC,Everton FC,0,0
22/23,Brentford FC,Aston Villa FC,1,1
22/23,Newcastle United FC,Tottenham Hotspur FC,6,1
22/23,AFC Bournemouth,West Ham United FC,0,4
22/23,Brighton & Hove Albion FC,Manchester City FC,1,1
22/23,Manchester United FC,Chelsea FC,4,1
21/22,Newcastle United FC,Wolverhampton Wanderers FC,1,0
21/22,Everton FC,Manchester United FC,1,0
21/22,Arsenal FC,Brighton & Hove Albion FC,1,2
21/22,Southampton FC,Chelsea FC,0,6
21/22,Watford FC,Leeds United FC,0,3
21/22,Aston Villa FC,Tottenham Hotspur FC,0,4
21/22,Brentford FC,West Ham United FC,2,0
21/22,Leicester City FC,Crystal Palace FC,2,1
21/22,Norwich City FC,Burnley FC,2,0
21/22,Manchester City FC,Liverpool FC,2,2
20/21,Everton FC,Tottenham Hotspur FC,2,2
20/21,Newcastle United FC,West Ham United FC,3,2
20/21,Wolverhampton Wanderers FC,Sheffield United FC,1,0
20/21,Arsenal FC,Fulham FC,1,1
20/21,Manchester United FC,Burnley FC,3,1
20/21,Leeds United FC,Liverpool FC,1,1
20/21,Chelsea FC,Brighton & Hove Albion FC,0,0
20/21,Aston Villa FC,Manchester City FC,1,2
20/21,Leicester City FC,West Bromwich Albion FC,3,0
20/21,Southampton FC,Crystal Palace FC,3,1
19/20,Aston Villa,Wolverhampton Wanderers,0,1
19/20,Watford FC,Southampton FC,1,3
19/20,Crystal Palace,Burnley FC,0,1
19/20,Brighton & Hove Albion,Manchester United,0,3
19/20,AFC Bournemouth,Newcastle United,1,4
19/20,Arsenal FC,Norwich City,4,0
19/20,Everton FC,Leicester City,2,1
19/20,West Ham United,Chelsea FC,3,2
19/20,Manchester City,Liverpool FC,4,0
19/20,Sheffield United,Tottenham Hotspur,3,1
18/19,Fulham FC,Manchester City,0,2
18/19,West Ham United,Everton FC,0,2
18/19,Burnley FC,Wolverhampton Wanderers,2,0
18/19,Manchester United,Watford FC,2,1
18/19,Brighton & Hove Albion,Southampton FC,0,1
18/19,Crystal Palace,Huddersfield Town,2,0
18/19,Leicester City,AFC Bournemouth,2,0
18/19,Cardiff City,Chelsea FC,1,2
18/19,Liverpool FC,Tottenham Hotspur,2,1
18/19,Arsenal FC,Newcastle United,2,0
17/18,Everton FC,Manchester City,1,3
17/18,West Bromwich Albion,Burnley FC,1,2
17/18,Watford FC,AFC Bournemouth,2,2
17/18,West Ham United,Southampton FC,3,0
17/18,Newcastle United,Huddersfield Town,1,0
17/18,Manchester United,Swansea City,2,0
17/18,Crystal Palace,Liverpool FC,1,2
17/18,Brighton & Hove Albion,Leicester City,0,2
17/18,Chelsea FC,Tottenham Hotspur,1,3
17/18,Arsenal FC,Stoke City,3,0
16/17,Tottenham Hotspur,Watford FC,4,0
16/17,AFC Bournemouth,Chelsea FC,1,3
16/17,West Ham United,Swansea City,1,0
16/17,West Bromwich Albion,Southampton FC,0,1
16/17,Stoke City,Liverpool FC,1,2
16/17,Middlesbrough FC,Burnley FC,0,0
16/17,Manchester City,Hull City,3,1
16/17,Sunderland AFC,Manchester United,0,3
16/17,Everton FC,Leicester City,4,2
16/17,Crystal Palace,Arsenal FC,3,0
15/16,Stoke City,Swansea City,2,2
15/16,Sunderland AFC,West Bromwich Albion,0,0
15/16,West Ham United,Crystal Palace,2,2
15/16,Liverpool FC,Tottenham Hotspur,1,1
15/16,Arsenal FC,Watford FC,4,0
15/16,AFC Bournemouth,Manchester City,0,4
15/16,Norwich City,Newcastle United,3,2
15/16,Aston Villa,Chelsea FC,0,4
15/16,Manchester United,Everton FC,1,0
15/16,Leicester City,Southampton FC,1,0
14/15,Southampton FC,Hull City,2,0
