sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Liverpool,Everton,2,1
25/26,Burnley,Nottingham Forest,1,1
25/26,Brighton & Hove Albion,Tottenham Hotspur,2,2
25/26,Wolverhampton Wanderers,Leeds United,1,3
25/26,West Ham United,Crystal Palace,1,2
25/26,Manchester United,Chelsea FC,2,1
25/26,Fulham,Brentford,3,1
25/26,Sunderland,Aston Villa,1,1
25/26,Bournemouth,Newcastle United,0,0
25/26,Arsenal,Manchester City,1,1
24/25,West Ham United FC,Chelsea FC,0,3
24/25,Aston Villa FC,Wolverhampton Wanderers FC,3,1
24/25,Fulham FC,Newcastle United FC,3,1
24/25,Leicester City FC,Everton FC,1,1
24/25,Liverpool FC,AFC Bournemouth,3,0
24/25,Southampton FC,Ipswich Town FC,1,1
24/25,Tottenham Hotspur FC,Brentford FC,3,1
24/25,Crystal Palace FC,Manchester United FC,0,0
24/25,Brighton & Hove Albion FC,Nottingham Forest FC,2,2
24/25,Manchester City FC,Arsenal FC,2,2
23/24,Wolverhampton Wanderers FC,Liverpool FC,1,3
23/24,Aston Villa FC,Crystal Palace FC,3,1
23/24,Fulham FC,Luton Town FC,1,0
23/24,Manchester United FC,Brighton & Hove Albion FC,1,3
23/24,Tottenham Hotspur FC,Sheffield United FC,2,1
23/24,West Ham United FC,Manchester City FC,1,3
23/24,Newcastle United FC,Brentford FC,1,0
23/24,AFC Bournemouth,Chelsea FC,0,0
23/24,Everton FC,Arsenal FC,0,1
23/24,Nottingham Forest FC,Burnley FC,1,1
22/23,Crystal Palace FC,Brentford FC,1,1
22/23,Fulham FC,Brighton & Hove Albion FC,2,1
22/23,Southampton FC,Chelsea FC,2,1
22/23,Leeds United FC,Everton FC,1,1
22/23,Manchester City FC,Nottingham Forest FC,6,0
22/23,AFC Bournemouth,Wolverhampton Wanderers FC,0,0
22/23,Arsenal FC,Aston Villa FC,2,1
22/23,West Ham United FC,Tottenham Hotspur FC,1,1
22/23,Liverpool FC,Newcastle United FC,2,1
22/23,Leicester City FC,Manchester United FC,0,1
21/22,Newcastle United FC,Leeds United FC,1,1
21/22,Wolverhampton Wanderers FC,Brentford FC,0,2
21/22,Norwich City FC,Watford FC,1,3
21/22,Manchester City FC,Southampton FC,0,0
21/22,Liverpool FC,Crystal Palace FC,3,0
21/22,Burnley FC,Arsenal FC,0,1
21/22,Aston Villa FC,Everton FC,3,0
21/22,West Ham United FC,Manchester United FC,1,2
21/22,Brighton & Hove Albion FC,Leicester City FC,2,1
21/22,Tottenham Hotspur FC,Chelsea FC,0,3
20/21,Everton FC,Liverpool FC,2,2
20/21,Chelsea FC,Southampton FC,3,3
20/21,Manchester City FC,Arsenal FC,1,0
20/21,Newcastle United FC,Manchester United FC,1,4
20/21,Sheffield United FC,Fulham FC,1,1
20/21,Crystal Palace FC,Brighton & Hove Albion FC,1,1
20/21,Tottenham Hotspur FC,West Ham United FC,3,3
20/21,Leicester City FC,Aston Villa FC,0,1
20/21,West Bromwich Albion FC,Burnley FC,0,0
20/21,Leeds United FC,Wolverhampton Wanderers FC,0,1
19/20,Liverpool FC,Newcastle United,3,1
19/20,Brighton & Hove Albion,Burnley FC,1,1
19/20,Manchester United,Leicester City,1,0
19/20,Sheffield United,Southampton FC,0,1
19/20,Tottenham Hotspur,Crystal Palace,4,0
19/20,Wolverhampton Wanderers,Chelsea FC,2,5
19/20,Norwich City,Manchester City,3,2
19/20,Watford FC,Arsenal FC,2,2
19/20,AFC Bournemouth,Everton FC,3,1
19/20,Aston Villa,West Ham United,0,0
18/19,Tottenham Hotspur,Liverpool FC,1,2
18/19,AFC Bournemouth,Leicester City,4,2
18/19,Chelsea FC,Cardiff City,4,1
18/19,Huddersfield Town,Crystal Palace,0,1
18/19,Manchester City,Fulham FC,3,0
18/19,Newcastle United,Arsenal FC,1,2
18/19,Watford FC,Manchester United,1,2
18/19,Everton FC,West Ham United,1,3
18/19,Wolverhampton Wanderers,Burnley FC,1,0
18/19,Southampton FC,Brighton & Hove Albion,2,2
17/18,AFC Bournemouth,Brighton & Hove Albion,2,1
17/18,Crystal Palace,Southampton FC,0,1
17/18,Huddersfield Town,Leicester City,1,1
17/18,Liverpool FC,Burnley FC,1,1
17/18,Newcastle United,Stoke City,2,1
17/18,Watford FC,Manchester City,0,6
17/18,West Bromwich Albion,West Ham United,0,0
17/18,Tottenham Hotspur,Swansea City,0,0
17/18,Manchester United,Everton FC,4,0
17/18,Chelsea FC,Arsenal FC,0,0
16/17,Chelsea FC,Liverpool FC,1,2
16/17,Hull City,Arsenal FC,1,4
16/17,Leicester City,Burnley FC,3,0
16/17,Manchester City,AFC Bournemouth,4,0
16/17,West Bromwich Albion,West Ham United,4,2
