sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Leeds United,Burnley,3,1
25/26,Newcastle United,Brighton & Hove Albion,3,1
25/26,Brentford,West Ham United,3,0
25/26,Wolverhampton Wanderers,Sunderland,1,1
25/26,Arsenal,Fulham,3,0
25/26,Bournemouth,Crystal Palace,3,0
25/26,Manchester United,Liverpool,3,2
25/26,Aston Villa,Tottenham Hotspur,1,2
25/26,Chelsea FC,Nottingham Forest,1,3
25/26,Everton,Manchester City,3,3
24/25,Manchester City FC,Wolverhampton Wanderers FC,1,0
24/25,Aston Villa FC,Fulham FC,1,0
24/25,Everton FC,Ipswich Town FC,2,2
24/25,Leicester City FC,Southampton FC,2,0
24/25,Arsenal FC,AFC Bournemouth,1,2
24/25,Brentford FC,Manchester United FC,4,3
24/25,Brighton & Hove Albion FC,Newcastle United FC,1,1
24/25,West Ham United FC,Tottenham Hotspur FC,1,1
24/25,Chelsea FC,Liverpool FC,3,1
24/25,Crystal Palace FC,Nottingham Forest FC,1,1
23/24,West Ham United FC,Liverpool FC,2,2
23/24,Fulham FC,Crystal Palace FC,1,1
23/24,Manchester United FC,Burnley FC,1,1
23/24,Newcastle United FC,Sheffield United FC,5,1
23/24,Wolverhampton Wanderers FC,Luton Town FC,2,1
23/24,Everton FC,Brentford FC,1,0
23/24,Aston Villa FC,Chelsea FC,2,2
23/24,AFC Bournemouth,Brighton & Hove Albion FC,3,0
23/24,Tottenham Hotspur FC,Arsenal FC,2,3
23/24,Nottingham Forest FC,Manchester City FC,0,2
22/23,Wolverhampton Wanderers FC,Aston Villa FC,1,0
22/23,Tottenham Hotspur FC,Crystal Palace FC,1,0
22/23,Manchester City FC,Leeds United FC,2,1
22/23,AFC Bournemouth,Chelsea FC,1,3
22/23,Liverpool FC,Brentford FC,1,0
22/23,Newcastle United FC,Arsenal FC,0,2
22/23,West Ham United FC,Manchester United FC,1,0
22/23,Fulham FC,Leicester City FC,5,3
22/23,Brighton & Hove Albion FC,Everton FC,1,5
22/23,Nottingham Forest FC,Southampton FC,4,3
21/22,Newcastle United FC,Liverpool FC,0,1
21/22,Aston Villa FC,Norwich City FC,2,0
21/22,Southampton FC,Crystal Palace FC,1,2
21/22,Watford FC,Burnley FC,1,2
21/22,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,0,3
21/22,Leeds United FC,Manchester City FC,0,4
21/22,Everton FC,Chelsea FC,1,0
21/22,Tottenham Hotspur FC,Leicester City FC,3,1
21/22,West Ham United FC,Arsenal FC,1,2
21/22,Manchester United FC,Brentford FC,3,0
20/21,Leicester City FC,Newcastle United FC,2,4
20/21,Leeds United FC,Tottenham Hotspur FC,3,1
20/21,Sheffield United FC,Crystal Palace FC,0,2
20/21,Manchester City FC,Chelsea FC,1,2
20/21,Liverpool FC,Southampton FC,2,0
20/21,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,2,1
20/21,Aston Villa FC,Manchester United FC,1,3
20/21,West Ham United FC,Everton FC,0,1
20/21,Arsenal FC,West Bromwich Albion FC,3,1
20/21,Fulham FC,Burnley FC,0,2
19/20,Watford FC,Newcastle United,2,1
19/20,Liverpool FC,Burnley FC,1,1
19/20,Sheffield United,Chelsea FC,3,0
19/20,Brighton & Hove Albion,Manchester City,0,5
19/20,Norwich City,West Ham United,0,4
