sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Tottenham Hotspur,Manchester United,2,2
25/26,Everton,Fulham,2,0
25/26,West Ham United,Burnley,3,2
25/26,Sunderland,Arsenal,2,2
25/26,Chelsea FC,Wolverhampton Wanderers,3,0
25/26,Nottingham Forest,Leeds United,3,1
25/26,Aston Villa,Bournemouth,4,0
25/26,Brentford,Newcastle United,3,1
25/26,Crystal Palace,Brighton & Hove Albion,0,0
25/26,Manchester City,Liverpool,3,0
24/25,Brentford FC,AFC Bournemouth,3,2
24/25,Crystal Palace FC,Fulham FC,0,2
24/25,West Ham United FC,Everton FC,0,0
24/25,Wolverhampton Wanderers FC,Southampton FC,2,0
24/25,Brighton & Hove Albion FC,Manchester City FC,2,1
24/25,Liverpool FC,Aston Villa FC,2,0
24/25,Manchester United FC,Leicester City FC,3,0
24/25,Nottingham Forest FC,Newcastle United FC,1,3
24/25,Tottenham Hotspur FC,Ipswich Town FC,1,2
24/25,Chelsea FC,Arsenal FC,1,1
23/24,Fulham FC,Manchester United FC,0,1
23/24,Brentford FC,West Ham United FC,3,2
23/24,Burnley FC,Crystal Palace FC,0,2
23/24,Everton FC,Brighton & Hove Albion FC,1,1
23/24,Manchester City FC,AFC Bournemouth,6,1
23/24,Sheffield United FC,Wolverhampton Wanderers FC,2,1
23/24,Newcastle United FC,Arsenal FC,1,0
23/24,Nottingham Forest FC,Aston Villa FC,2,0
23/24,Luton Town FC,Liverpool FC,1,1
23/24,Tottenham Hotspur FC,Chelsea FC,1,4
22/23,Brentford FC,Brighton & Hove Albion FC,2,0
22/23,Leicester City FC,Crystal Palace FC,0,0
22/23,Wolverhampton Wanderers FC,Nottingham Forest FC,1,0
22/23,Fulham FC,AFC Bournemouth,2,2
22/23,Tottenham Hotspur FC,Everton FC,2,0
22/23,Southampton FC,West Ham United FC,1,1
22/23,Manchester United FC,Newcastle United FC,0,0
22/23,Leeds United FC,Arsenal FC,0,1
22/23,Aston Villa FC,Chelsea FC,0,2
22/23,Liverpool FC,Manchester City FC,1,0
21/22,Southampton FC,Aston Villa FC,1,0
21/22,Manchester United FC,Manchester City FC,0,2
21/22,Crystal Palace FC,Wolverhampton Wanderers FC,2,0
21/22,Chelsea FC,Burnley FC,1,1
21/22,Brentford FC,Norwich City FC,1,2
21/22,Brighton & Hove Albion FC,Newcastle United FC,1,1
21/22,Leeds United FC,Leicester City FC,1,1
21/22,Everton FC,Tottenham Hotspur FC,0,0
21/22,Arsenal FC,Watford FC,1,0
21/22,West Ham United FC,Liverpool FC,3,2
20/21,Burnley FC,Everton FC,1,1
20/21,Manchester City FC,Fulham FC,2,0
20/21,West Ham United FC,Manchester United FC,1,3
20/21,Chelsea FC,Leeds United FC,3,1
20/21,West Bromwich Albion FC,Crystal Palace FC,1,5
20/21,Sheffield United FC,Leicester City FC,1,2
20/21,Tottenham Hotspur FC,Arsenal FC,2,0
20/21,Liverpool FC,Wolverhampton Wanderers FC,4,0
20/21,Brighton & Hove Albion FC,Southampton FC,1,2
20/21,Aston Villa FC,Newcastle United FC,2,0
19/20,AFC Bournemouth,Manchester United,1,0
19/20,Arsenal FC,Wolverhampton Wanderers,1,1
19/20,Aston Villa,Liverpool FC,1,2
19/20,Brighton & Hove Albion,Norwich City,2,0
19/20,Manchester City,Southampton FC,2,1
19/20,Sheffield United,Burnley FC,3,0
19/20,West Ham United,Newcastle United,2,3
19/20,Watford FC,Chelsea FC,1,2
19/20,Everton FC,Tottenham Hotspur,1,1
19/20,Crystal Palace,Leicester City,0,2
18/19,AFC Bournemouth,Manchester United,1,2
18/19,Cardiff City,Leicester City,0,1
18/19,Everton FC,Brighton & Hove Albion,3,1
18/19,Newcastle United,Watford FC,1,0
18/19,West Ham United,Burnley FC,4,2
18/19,Arsenal FC,Liverpool FC,1,1
18/19,Wolverhampton Wanderers,Tottenham Hotspur,2,3
18/19,Chelsea FC,Crystal Palace,3,1
18/19,Manchester City,Southampton FC,6,1
18/19,Huddersfield Town,Fulham FC,1,0
17/18,Stoke City,Leicester City,2,2
17/18,Huddersfield Town,West Bromwich Albion,1,0
17/18,Newcastle United,AFC Bournemouth,0,1
17/18,Southampton FC,Burnley FC,0,1
17/18,Swansea City,Brighton & Hove Albion,0,1
17/18,West Ham United,Liverpool FC,1,4
17/18,Tottenham Hotspur,Crystal Palace,1,0
17/18,Manchester City,Arsenal FC,3,1
17/18,Chelsea FC,Manchester United,1,0
17/18,Everton FC,Watford FC,3,2
16/17,Burnley FC,Crystal Palace,3,2
16/17,Manchester City,Middlesbrough FC,1,1
16/17,West Ham United,Stoke City,1,1
16/17,Chelsea FC,Everton FC,5,0
16/17,AFC Bournemouth,Sunderland AFC,1,2
16/17,Arsenal FC,Tottenham Hotspur,1,1
16/17,Hull City,Southampton FC,2,1
16/17,Liverpool FC,Watford FC,6,1
16/17,Swansea City,Manchester United,1,3
16/17,Leicester City,West Bromwich Albion,1,2
15/16,Chelsea FC,Liverpool FC,1,3
15/16,Crystal Palace,Manchester United,0,0
15/16,Manchester City,Norwich City,2,1
15/16,Newcastle United,Stoke City,0,0
15/16,Swansea City,Arsenal FC,0,3
15/16,Watford FC,West Ham United,2,0
15/16,West Bromwich Albion,Leicester City,2,3
15/16,Southampton FC,AFC Bournemouth,2,0
15/16,Everton FC,Sunderland AFC,6,2
15/16,Tottenham Hotspur,Aston Villa,3,1
14/15,Liverpool FC,Chelsea FC,1,2
14/15,Burnley FC,Hull City,1,0
14/15,Manchester United,Crystal Palace,1,0
14/15,Southampton FC,Leicester City,2,0
14/15,West Ham United,Aston Villa,0,0
14/15,Queens Park Rangers,Manchester City,2,2
14/15,Sunderland AFC,Everton FC,1,1
14/15,Tottenham Hotspur,Stoke City,1,2
14/15,West Bromwich Albion,Newcastle United,0,2
14/15,Swansea City,Arsenal FC,2,1
13/14,Chelsea FC,West Bromwich Albion,2,2
13/14,Crystal Palace,Everton FC,0,0
13/14,Liverpool FC,Fulham FC,4,0
13/14,Southampton FC,Hull City,4,1
13/14,Norwich City,West Ham United,3,1
13/14,Aston Villa,Cardiff City,2,0
13/14,Tottenham Hotspur,Newcastle United,0,1
13/14,Sunderland AFC,Manchester City,1,0
13/14,Manchester United,Arsenal FC,1,0
13/14,Swansea City,Stoke City,3,3
12/13,Southampton FC,Swansea City,1,1
12/13,Arsenal FC,Fulham FC,3,3
12/13,Everton FC,Sunderland AFC,2,1
12/13,Reading FC,Norwich City,0,0
12/13,Wigan Athletic,West Bromwich Albion,1,2
12/13,Stoke City,Queens Park Rangers,1,0
12/13,Aston Villa,Manchester United,2,3
12/13,Manchester City,Tottenham Hotspur,2,1
12/13,Newcastle United,West Ham United,0,1
12/13,Chelsea FC,Liverpool FC,1,1
11/12,Blackburn Rovers,Chelsea FC,0,1
11/12,Newcastle United,Everton FC,2,1
11/12,Arsenal FC,West Bromwich Albion,3,0
11/12,Aston Villa,Norwich City,3,2
11/12,Manchester United,Sunderland AFC,1,0
11/12,Liverpool FC,Swansea City,0,0
11/12,Queens Park Rangers,Manchester City,2,3
11/12,Wolverhampton Wanderers,Wigan Athletic,3,1
11/12,Bolton Wanderers,Stoke City,5,0
11/12,Fulham FC,Tottenham Hotspur,1,3
10/11,Bolton Wanderers,Tottenham Hotspur,4,2
10/11,Sunderland AFC,Stoke City,2,0
10/11,Blackpool FC,Everton FC,2,2
10/11,Fulham FC,Aston Villa,1,1
10/11,Birmingham City,West Ham United,2,2
10/11,Manchester United,Wolverhampton Wanderers,2,1
10/11,Blackburn Rovers,Wigan Athletic,2,1
10/11,West Bromwich Albion,Manchester City,0,2
10/11,Liverpool FC,Chelsea FC,2,0
10/11,Arsenal FC,Newcastle United,0,1
09/10,Stoke City,Wolverhampton Wanderers,2,2
09/10,Sunderland AFC,West Ham United,2,2
09/10,Manchester United,Blackburn Rovers,2,0
09/10,Everton FC,Aston Villa,1,1
09/10,Arsenal FC,Tottenham Hotspur,3,0
09/10,Bolton Wanderers,Chelsea FC,0,4
09/10,Burnley FC,Hull City,2,0
09/10,Portsmouth FC,Wigan Athletic,4,0
09/10,Fulham FC,Liverpool FC,3,1
09/10,Birmingham City,Manchester City,0,0
08/09,Tottenham Hotspur,Liverpool FC,2,1
08/09,Everton FC,Fulham FC,1,0
08/09,Chelsea FC,Sunderland AFC,5,0
08/09,Manchester United,Hull City,4,3
08/09,Middlesbrough FC,West Ham United,1,1
08/09,Portsmouth FC,Wigan Athletic,1,2
08/09,Stoke City,Arsenal FC,2,1
08/09,West Bromwich Albion,Blackburn Rovers,2,2
08/09,Bolton Wanderers,Manchester City,2,0
