sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Aston Villa,Leeds United,1,1
25/26,Chelsea FC,Burnley,1,1
25/26,Brentford,Brighton & Hove Albion,0,2
25/26,West Ham United,Bournemouth,0,0
25/26,Manchester City,Newcastle United,2,1
25/26,Nottingham Forest,Liverpool,0,1
25/26,Sunderland,Fulham,1,3
25/26,Crystal Palace,Wolverhampton Wanderers,1,0
25/26,Tottenham Hotspur,Arsenal,1,4
25/26,Everton,Manchester United,0,1
24/25,Brighton & Hove Albion FC,AFC Bournemouth,2,1
24/25,Crystal Palace FC,Aston Villa FC,4,1
24/25,Wolverhampton Wanderers FC,Fulham FC,1,2
24/25,Chelsea FC,Southampton FC,4,0
24/25,Nottingham Forest FC,Arsenal FC,0,0
24/25,Brentford FC,Everton FC,1,1
24/25,Tottenham Hotspur FC,Manchester City FC,0,1
24/25,Manchester United FC,Ipswich Town FC,3,2
24/25,Liverpool FC,Newcastle United FC,2,0
24/25,West Ham United FC,Leicester City FC,2,0
23/24,Brentford FC,Chelsea FC,2,2
23/24,Everton FC,West Ham United FC,1,3
23/24,Fulham FC,Brighton & Hove Albion FC,3,0
23/24,Newcastle United FC,Wolverhampton Wanderers FC,3,0
23/24,Nottingham Forest FC,Liverpool FC,0,1
23/24,Tottenham Hotspur FC,Crystal Palace FC,3,1
23/24,Luton Town FC,Aston Villa FC,2,3
23/24,Burnley FC,AFC Bournemouth,0,2
23/24,Manchester City FC,Manchester United FC,3,1
23/24,Sheffield United FC,Arsenal FC,0,6
22/23,AFC Bournemouth,Liverpool FC,1,0
22/23,Tottenham Hotspur FC,Nottingham Forest FC,3,1
22/23,Leicester City FC,Chelsea FC,1,3
22/23,Leeds United FC,Brighton & Hove Albion FC,2,2
22/23,Everton FC,Brentford FC,1,0
22/23,Crystal Palace FC,Manchester City FC,0,1
22/23,West Ham United FC,Aston Villa FC,1,1
22/23,Manchester United FC,Southampton FC,0,0
22/23,Fulham FC,Arsenal FC,0,3
22/23,Newcastle United FC,Wolverhampton Wanderers FC,2,1
21/22,Southampton FC,Norwich City FC,2,0
21/22,Leeds United FC,Tottenham Hotspur FC,0,4
21/22,Manchester United FC,Watford FC,0,0
21/22,Crystal Palace FC,Burnley FC,1,1
21/22,Brentford FC,Newcastle United FC,0,2
21/22,Brighton & Hove Albion FC,Aston Villa FC,0,2
21/22,Everton FC,Manchester City FC,0,1
21/22,West Ham United FC,Wolverhampton Wanderers FC,1,0
21/22,Arsenal FC,Liverpool FC,0,2
21/22,Chelsea FC,Leicester City FC,1,1
20/21,Burnley FC,Arsenal FC,1,1
20/21,Sheffield United FC,Southampton FC,0,2
20/21,Aston Villa FC,Wolverhampton Wanderers FC,0,0
20/21,Brighton & Hove Albion FC,Leicester City FC,1,2
20/21,West Bromwich Albion FC,Newcastle United FC,0,0
20/21,Liverpool FC,Fulham FC,0,1
20/21,Manchester City FC,Manchester United FC,0,2
20/21,Tottenham Hotspur FC,Crystal Palace FC,4,1
20/21,Chelsea FC,Everton FC,2,0
20/21,West Ham United FC,Leeds United FC,2,0
19/20,Burnley FC,AFC Bournemouth,3,0
19/20,Crystal Palace,Newcastle United,1,0
19/20,Sheffield United,Brighton & Hove Albion,1,1
19/20,Southampton FC,Aston Villa,2,0
19/20,Leicester City,Manchester City,0,1
19/20,Chelsea FC,Tottenham Hotspur,2,1
19/20,Manchester United,Watford FC,3,0
19/20,Wolverhampton Wanderers,Norwich City,3,0
19/20,Arsenal FC,Everton FC,3,2
19/20,Liverpool FC,West Ham United,3,2
18/19,Everton FC,Manchester City,0,2
18/19,Cardiff City,Watford FC,1,5
