sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Fulham,Wolverhampton Wanderers,3,0
25/26,Crystal Palace,Brentford,2,0
25/26,Nottingham Forest,Manchester United,2,2
25/26,Burnley,Arsenal,0,2
25/26,Brighton & Hove Albion,Leeds United,3,0
25/26,Tottenham Hotspur,Chelsea FC,0,1
25/26,Liverpool,Aston Villa,2,0
25/26,West Ham United,Newcastle United,3,1
25/26,Manchester City,Bournemouth,3,1
25/26,Sunderland,Everton,1,1
24/25,Newcastle United FC,Arsenal FC,1,0
24/25,AFC Bournemouth,Manchester City FC,2,1
24/25,Ipswich Town FC,Leicester City FC,1,1
24/25,Liverpool FC,Brighton & Hove Albion FC,2,1
24/25,Nottingham Forest FC,West Ham United FC,3,0
24/25,Southampton FC,Everton FC,1,0
24/25,Wolverhampton Wanderers FC,Crystal Palace FC,2,2
24/25,Tottenham Hotspur FC,Aston Villa FC,4,1
24/25,Manchester United FC,Chelsea FC,1,1
24/25,Fulham FC,Brentford FC,2,1
23/24,Crystal Palace FC,Tottenham Hotspur FC,1,2
23/24,Chelsea FC,Brentford FC,0,2
23/24,AFC Bournemouth,Burnley FC,2,1
23/24,Arsenal FC,Sheffield United FC,5,0
23/24,Wolverhampton Wanderers FC,Newcastle United FC,2,2
23/24,West Ham United FC,Everton FC,0,1
23/24,Aston Villa FC,Luton Town FC,3,1
23/24,Brighton & Hove Albion FC,Fulham FC,1,1
23/24,Liverpool FC,Nottingham Forest FC,3,0
23/24,Manchester United FC,Manchester City FC,0,3
22/23,Newcastle United FC,Brentford FC,5,1
22/23,Manchester City FC,Southampton FC,4,0
22/23,Chelsea FC,Wolverhampton Wanderers FC,3,0
22/23,AFC Bournemouth,Leicester City FC,2,1
22/23,Brighton & Hove Albion FC,Tottenham Hotspur FC,0,1
22/23,West Ham United FC,Fulham FC,3,1
22/23,Crystal Palace FC,Leeds United FC,2,1
22/23,Arsenal FC,Liverpool FC,3,2
22/23,Everton FC,Manchester United FC,1,2
22/23,Nottingham Forest FC,Aston Villa FC,1,1
21/22,Leicester City FC,Arsenal FC,0,2
21/22,Watford FC,Southampton FC,0,1
21/22,Newcastle United FC,Chelsea FC,0,3
21/22,Manchester City FC,Crystal Palace FC,0,2
21/22,Liverpool FC,Brighton & Hove Albion FC,2,2
21/22,Burnley FC,Brentford FC,3,1
21/22,Tottenham Hotspur FC,Manchester United FC,0,3
21/22,Norwich City FC,Leeds United FC,1,2
21/22,Aston Villa FC,West Ham United FC,1,4
21/22,Wolverhampton Wanderers FC,Everton FC,2,1
20/21,Crystal Palace FC,Newcastle United FC,0,2
20/21,Brighton & Hove Albion FC,Liverpool FC,1,1
20/21,Manchester City FC,Burnley FC,5,0
20/21,Everton FC,Leeds United FC,0,1
