sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Bournemouth,Fulham,3,1
25/26,Leeds United,Tottenham Hotspur,1,2
25/26,Manchester United,Sunderland,2,0
25/26,Arsenal,West Ham United,2,0
25/26,Chelsea FC,Liverpool,2,1
25/26,Newcastle United,Nottingham Forest,2,0
25/26,Aston Villa,Burnley,2,1
25/26,Wolverhampton Wanderers,Brighton & Hove Albion,1,1
25/26,Everton,Crystal Palace,2,1
25/26,Brentford,Manchester City,0,1
24/25,Crystal Palace FC,Liverpool FC,0,1
24/25,Arsenal FC,Southampton FC,3,1
24/25,Brentford FC,Wolverhampton Wanderers FC,5,3
24/25,Leicester City FC,AFC Bournemouth,1,0
24/25,Manchester City FC,Fulham FC,3,2
24/25,West Ham United FC,Ipswich Town FC,4,1
24/25,Everton FC,Newcastle United FC,0,0
24/25,Aston Villa FC,Manchester United FC,0,0
24/25,Chelsea FC,Nottingham Forest FC,1,1
24/25,Brighton & Hove Albion FC,Tottenham Hotspur FC,3,2
23/24,Aston Villa FC,Brighton & Hove Albion FC,6,1
23/24,AFC Bournemouth,Arsenal FC,0,4
23/24,Everton FC,Luton Town FC,1,2
23/24,Manchester United FC,Crystal Palace FC,0,1
23/24,Newcastle United FC,Burnley FC,2,0
23/24,West Ham United FC,Sheffield United FC,2,0
23/24,Wolverhampton Wanderers FC,Manchester City FC,2,1
23/24,Tottenham Hotspur FC,Liverpool FC,2,1
23/24,Nottingham Forest FC,Brentford FC,1,1
23/24,Fulham FC,Chelsea FC,0,2
22/23,Fulham FC,Chelsea FC,2,1
22/23,Crystal Palace FC,Manchester United FC,1,1
22/23,Manchester City FC,Tottenham Hotspur FC,4,2
22/23,Arsenal FC,Everton FC,4,0
22/23,Liverpool FC,Wolverhampton Wanderers FC,2,0
22/23,Southampton FC,Brentford FC,0,2
22/23,Leicester City FC,Aston Villa FC,1,2
22/23,Leeds United FC,Nottingham Forest FC,2,1
22/23,AFC Bournemouth,Brighton & Hove Albion FC,0,2
22/23,West Ham United FC,Newcastle United FC,1,5
21/22,Manchester United FC,Everton FC,1,1
21/22,Wolverhampton Wanderers FC,Newcastle United FC,2,1
21/22,Leeds United FC,Watford FC,1,0
21/22,Chelsea FC,Southampton FC,3,1
21/22,Burnley FC,Norwich City FC,0,0
21/22,Brighton & Hove Albion FC,Arsenal FC,0,0
21/22,West Ham United FC,Brentford FC,1,2
21/22,Tottenham Hotspur FC,Aston Villa FC,2,1
21/22,Crystal Palace FC,Leicester City FC,2,2
21/22,Liverpool FC,Manchester City FC,2,2
20/21,Wolverhampton Wanderers FC,Crystal Palace FC,2,0
20/21,Sheffield United FC,Manchester City FC,0,1
20/21,Burnley FC,Chelsea FC,0,3
20/21,Liverpool FC,West Ham United FC,2,1
20/21,Aston Villa FC,Southampton FC,3,4
20/21,Newcastle United FC,Everton FC,2,1
20/21,Manchester United FC,Arsenal FC,0,1
20/21,Tottenham Hotspur FC,Brighton & Hove Albion FC,2,1
20/21,Fulham FC,West Bromwich Albion FC,2,0
20/21,Leeds United FC,Leicester City FC,1,4
