sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Aston Villa,Nottingham Forest,3,1
25/26,Wolverhampton Wanderers,West Ham United,3,0
25/26,Brighton & Hove Albion,Burnley,2,0
25/26,Bournemouth,Arsenal,2,3
25/26,Leeds United,Manchester United,1,1
25/26,Tottenham Hotspur,Sunderland,1,1
25/26,Newcastle United,Crystal Palace,2,0
25/26,Everton,Brentford,2,4
25/26,Fulham,Liverpool,2,2
25/26,Manchester City,Chelsea FC,1,1
24/25,Tottenham Hotspur FC,Newcastle United FC,1,2
24/25,Southampton FC,Brentford FC,0,5
24/25,Crystal Palace FC,Chelsea FC,1,1
24/25,AFC Bournemouth,Everton FC,1,0
24/25,Aston Villa FC,Leicester City FC,2,1
24/25,Manchester City FC,West Ham United FC,4,1
24/25,Brighton & Hove Albion FC,Arsenal FC,1,1
24/25,Fulham FC,Ipswich Town FC,2,2
24/25,Liverpool FC,Manchester United FC,2,2
24/25,Wolverhampton Wanderers FC,Nottingham Forest FC,0,3
23/24,Luton Town FC,Chelsea FC,2,3
23/24,Aston Villa FC,Burnley FC,3,2
23/24,Crystal Palace FC,Brentford FC,3,1
23/24,Manchester City FC,Sheffield United FC,2,0
23/24,Wolverhampton Wanderers FC,Everton FC,3,0
23/24,Nottingham Forest FC,Manchester United FC,2,1
23/24,Fulham FC,Arsenal FC,2,1
23/24,Tottenham Hotspur FC,AFC Bournemouth,3,1
23/24,Liverpool FC,Newcastle United FC,4,2
23/24,West Ham United FC,Brighton & Hove Albion FC,0,0
22/23,Aston Villa FC,Leeds United FC,2,1
22/23,Manchester United FC,Manchester City FC,2,1
22/23,Wolverhampton Wanderers FC,West Ham United FC,1,0
22/23,Nottingham Forest FC,Leicester City FC,2,0
22/23,Everton FC,Southampton FC,1,2
22/23,Brighton & Hove Albion FC,Liverpool FC,3,0
22/23,Brentford FC,AFC Bournemouth,2,0
22/23,Newcastle United FC,Fulham FC,1,0
22/23,Chelsea FC,Crystal Palace FC,1,0
22/23,Tottenham Hotspur FC,Arsenal FC,0,2
21/22,Crystal Palace FC,Norwich City FC,3,0
21/22,Watford FC,West Ham United FC,1,4
21/22,Southampton FC,Tottenham Hotspur FC,1,1
21/22,Leicester City FC,Liverpool FC,1,0
21/22,Chelsea FC,Brighton & Hove Albion FC,1,1
21/22,Brentford FC,Manchester City FC,0,1
21/22,Manchester United FC,Burnley FC,3,1
21/22,Arsenal FC,Wolverhampton Wanderers FC,2,1
21/22,Leeds United FC,Aston Villa FC,0,3
21/22,Everton FC,Newcastle United FC,1,0
20/21,Newcastle United FC,Leeds United FC,1,2
20/21,Crystal Palace FC,West Ham United FC,2,3
20/21,West Bromwich Albion FC,Manchester City FC,0,5
20/21,Southampton FC,Arsenal FC,1,3
20/21,Burnley FC,Aston Villa FC,3,2
20/21,Chelsea FC,Wolverhampton Wanderers FC,0,0
20/21,Brighton & Hove Albion FC,Fulham FC,0,0
20/21,Everton FC,Leicester City FC,1,1
20/21,Manchester United FC,Sheffield United FC,1,2
20/21,Tottenham Hotspur FC,Liverpool FC,1,3
19/20,Burnley FC,Manchester United,0,2
19/20,Brighton & Hove Albion,AFC Bournemouth,2,0
19/20,Newcastle United,Everton FC,1,2
19/20,Southampton FC,Crystal Palace,1,1
19/20,Watford FC,Aston Villa,3,0
19/20,Norwich City,Tottenham Hotspur,2,2
19/20,West Ham United,Leicester City,1,2
19/20,Arsenal FC,Chelsea FC,1,2
19/20,Liverpool FC,Wolverhampton Wanderers,1,0
19/20,Manchester City,Sheffield United,2,0
18/19,Brighton & Hove Albion,Everton FC,1,0
18/19,Fulham FC,Huddersfield Town,1,0
18/19,Leicester City,Cardiff City,0,1
18/19,Tottenham Hotspur,Wolverhampton Wanderers,1,3
18/19,Watford FC,Newcastle United,1,1
18/19,Liverpool FC,Arsenal FC,5,1
18/19,Burnley FC,West Ham United,2,0
18/19,Southampton FC,Manchester City,1,3
18/19,Manchester United,AFC Bournemouth,4,1
18/19,Crystal Palace,Chelsea FC,0,1
17/18,Tottenham Hotspur,Southampton FC,5,2
17/18,AFC Bournemouth,West Ham United,3,3
17/18,Chelsea FC,Brighton & Hove Albion,2,0
17/18,Huddersfield Town,Stoke City,1,1
17/18,Manchester United,Burnley FC,2,2
17/18,Watford FC,Leicester City,2,1
17/18,West Bromwich Albion,Everton FC,0,0
17/18,Liverpool FC,Swansea City,5,0
17/18,Newcastle United,Manchester City,0,1
17/18,Crystal Palace,Arsenal FC,2,3
16/17,Middlesbrough FC,Leicester City,0,0
16/17,Everton FC,Southampton FC,3,0
16/17,Manchester City,Burnley FC,2,1
16/17,Sunderland AFC,Liverpool FC,2,2
16/17,West Bromwich Albion,Hull City,3,1
16/17,West Ham United,Manchester United,0,2
16/17,Crystal Palace,Swansea City,1,2
16/17,Stoke City,Watford FC,2,0
16/17,AFC Bournemouth,Arsenal FC,3,3
16/17,Tottenham Hotspur,Chelsea FC,2,0
15/16,West Ham United,Liverpool FC,2,0
15/16,Arsenal FC,Newcastle United,1,0
15/16,Leicester City,AFC Bournemouth,0,0
15/16,Manchester United,Swansea City,2,1
15/16,Norwich City,Southampton FC,1,0
15/16,Sunderland AFC,Aston Villa,3,1
15/16,West Bromwich Albion,Stoke City,2,1
15/16,Watford FC,Manchester City,1,2
15/16,Everton FC,Tottenham Hotspur,1,1
