sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Sunderland,Brighton & Hove Albion,0,1
25/26,Burnley,Bournemouth,0,0
25/26,Chelsea FC,Newcastle United,0,1
25/26,Arsenal,Everton,2,0
25/26,West Ham United,Manchester City,1,1
25/26,Manchester United,Aston Villa,3,1
25/26,Crystal Palace,Leeds United,0,0
25/26,Nottingham Forest,Fulham,0,0
25/26,Liverpool,Tottenham Hotspur,1,1
25/26,Brentford,Wolverhampton Wanderers,2,2
24/25,Arsenal FC,Fulham FC,2,1
24/25,Wolverhampton Wanderers FC,West Ham United FC,1,0
24/25,Nottingham Forest FC,Manchester United FC,1,0
24/25,AFC Bournemouth,Ipswich Town FC,1,2
24/25,Brighton & Hove Albion FC,Aston Villa FC,0,3
24/25,Manchester City FC,Leicester City FC,2,0
24/25,Newcastle United FC,Brentford FC,2,1
24/25,Southampton FC,Crystal Palace FC,1,1
24/25,Liverpool FC,Everton FC,1,0
24/25,Chelsea FC,Tottenham Hotspur FC,1,0
23/24,Newcastle United FC,West Ham United FC,4,3
23/24,AFC Bournemouth,Everton FC,2,1
23/24,Chelsea FC,Burnley FC,2,2
23/24,Nottingham Forest FC,Crystal Palace FC,1,1
23/24,Sheffield United FC,Fulham FC,3,3
23/24,Tottenham Hotspur FC,Luton Town FC,2,1
23/24,Aston Villa FC,Wolverhampton Wanderers FC,2,0
23/24,Brentford FC,Manchester United FC,1,1
23/24,Liverpool FC,Brighton & Hove Albion FC,2,1
23/24,Manchester City FC,Arsenal FC,0,0
22/23,Manchester United FC,Everton FC,2,0
22/23,Wolverhampton Wanderers FC,Chelsea FC,1,0
22/23,Tottenham Hotspur FC,Brighton & Hove Albion FC,2,1
22/23,Leicester City FC,AFC Bournemouth,0,1
22/23,Fulham FC,West Ham United FC,0,1
22/23,Brentford FC,Newcastle United FC,1,2
22/23,Aston Villa FC,Nottingham Forest FC,2,0
22/23,Southampton FC,Manchester City FC,1,4
22/23,Leeds United FC,Crystal Palace FC,1,5
22/23,Liverpool FC,Arsenal FC,2,2
21/22,Norwich City FC,Chelsea FC,1,3
21/22,Wolverhampton Wanderers FC,Leeds United FC,2,3
21/22,Aston Villa FC,Arsenal FC,0,1
21/22,Leicester City FC,Brentford FC,2,1
21/22,Tottenham Hotspur FC,West Ham United FC,3,1
21/22,Liverpool FC,Manchester United FC,4,0
21/22,Newcastle United FC,Crystal Palace FC,1,0
21/22,Manchester City FC,Brighton & Hove Albion FC,3,0
21/22,Burnley FC,Southampton FC,2,0
21/22,Watford FC,Everton FC,0,0
20/21,Chelsea FC,West Bromwich Albion FC,2,5
20/21,Leeds United FC,Sheffield United FC,2,1
20/21,Leicester City FC,Manchester City FC,0,2
20/21,Arsenal FC,Liverpool FC,0,3
20/21,Southampton FC,Burnley FC,3,2
20/21,Newcastle United FC,Tottenham Hotspur FC,2,2
20/21,Aston Villa FC,Fulham FC,3,1
20/21,Manchester United FC,Brighton & Hove Albion FC,2,1
20/21,Everton FC,Crystal Palace FC,1,1
20/21,Wolverhampton Wanderers FC,West Ham United FC,2,3
19/20,Norwich City,Southampton FC,0,3
19/20,Tottenham Hotspur,Manchester United,1,1
19/20,Brighton & Hove Albion,Arsenal FC,2,1
19/20,West Ham United,Wolverhampton Wanderers,0,2
19/20,AFC Bournemouth,Crystal Palace,0,2
19/20,Watford FC,Leicester City,1,1
19/20,Newcastle United,Sheffield United,3,0
19/20,Aston Villa,Chelsea FC,1,2
19/20,Everton FC,Liverpool FC,0,0
19/20,Manchester City,Burnley FC,5,0
18/19,Manchester City,Watford FC,3,1
18/19,Crystal Palace,Brighton & Hove Albion,1,2
18/19,Huddersfield Town,AFC Bournemouth,0,2
18/19,Leicester City,Fulham FC,3,1
18/19,Cardiff City,West Ham United,2,0
18/19,Newcastle United,Everton FC,3,2
18/19,Southampton FC,Tottenham Hotspur,2,1
18/19,Liverpool FC,Burnley FC,4,2
18/19,Chelsea FC,Wolverhampton Wanderers,1,1
18/19,Arsenal FC,Manchester United,2,0
17/18,Everton FC,Brighton & Hove Albion,2,0
17/18,Huddersfield Town,Swansea City,0,0
17/18,Newcastle United,Southampton FC,3,0
