sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Chelsea FC,Fulham,2,0
25/26,Tottenham Hotspur,Bournemouth,0,1
25/26,Sunderland,Brentford,2,1
25/26,Manchester United,Burnley,3,2
25/26,Wolverhampton Wanderers,Everton,2,3
25/26,Leeds United,Newcastle United,0,0
25/26,Brighton & Hove Albion,Manchester City,2,1
25/26,Nottingham Forest,West Ham United,0,3
25/26,Liverpool,Arsenal,1,0
25/26,Aston Villa,Crystal Palace,0,3
24/25,Arsenal FC,Brighton & Hove Albion FC,1,1
24/25,Brentford FC,Southampton FC,3,1
24/25,Everton FC,AFC Bournemouth,2,3
24/25,Ipswich Town FC,Fulham FC,1,1
24/25,Leicester City FC,Aston Villa FC,1,2
24/25,Nottingham Forest FC,Wolverhampton Wanderers FC,1,1
24/25,West Ham United FC,Manchester City FC,1,3
24/25,Chelsea FC,Crystal Palace FC,1,1
24/25,Newcastle United FC,Tottenham Hotspur FC,2,1
24/25,Manchester United FC,Liverpool FC,0,3
23/24,Chelsea FC,Luton Town FC,3,0
23/24,AFC Bournemouth,Tottenham Hotspur FC,0,2
23/24,Everton FC,Wolverhampton Wanderers FC,0,1
23/24,Manchester United FC,Nottingham Forest FC,3,2
23/24,Arsenal FC,Fulham FC,2,2
23/24,Brentford FC,Crystal Palace FC,1,1
23/24,Brighton & Hove Albion FC,West Ham United FC,1,3
23/24,Sheffield United FC,Manchester City FC,1,2
23/24,Burnley FC,Aston Villa FC,1,3
23/24,Newcastle United FC,Liverpool FC,1,2
22/23,Tottenham Hotspur FC,Wolverhampton Wanderers FC,1,0
22/23,Leicester City FC,Southampton FC,1,2
22/23,Fulham FC,Brentford FC,3,2
22/23,Everton FC,Nottingham Forest FC,1,1
22/23,Crystal Palace FC,Aston Villa FC,3,1
22/23,AFC Bournemouth,Arsenal FC,0,3
22/23,West Ham United FC,Brighton & Hove Albion FC,0,2
22/23,Leeds United FC,Chelsea FC,3,0
22/23,Newcastle United FC,Manchester City FC,3,3
22/23,Manchester United FC,Liverpool FC,2,1
21/22,Manchester City FC,Arsenal FC,5,0
21/22,West Ham United FC,Crystal Palace FC,2,2
21/22,Norwich City FC,Leicester City FC,1,2
21/22,Newcastle United FC,Southampton FC,2,2
21/22,Brighton & Hove Albion FC,Everton FC,0,2
21/22,Aston Villa FC,Brentford FC,1,1
21/22,Liverpool FC,Chelsea FC,1,1
21/22,Tottenham Hotspur FC,Watford FC,1,0
21/22,Burnley FC,Leeds United FC,1,1
21/22,Wolverhampton Wanderers FC,Manchester United FC,0,1
20/21,Brighton & Hove Albion FC,Manchester United FC,2,3
20/21,Crystal Palace FC,Everton FC,1,2
20/21,West Bromwich Albion FC,Chelsea FC,3,3
20/21,Burnley FC,Southampton FC,0,1
20/21,Sheffield United FC,Leeds United FC,0,1
20/21,Tottenham Hotspur FC,Newcastle United FC,1,1
20/21,Manchester City FC,Leicester City FC,2,5
20/21,West Ham United FC,Wolverhampton Wanderers FC,4,0
20/21,Fulham FC,Aston Villa FC,0,3
20/21,Liverpool FC,Arsenal FC,3,1
19/20,Aston Villa,Everton FC,2,0
19/20,Norwich City,Chelsea FC,2,3
19/20,Brighton & Hove Albion,Southampton FC,0,2
19/20,Manchester United,Crystal Palace,1,2
19/20,Sheffield United,Leicester City,1,2
19/20,Watford FC,West Ham United,1,3
19/20,Liverpool FC,Arsenal FC,3,1
19/20,Tottenham Hotspur,Newcastle United,0,1
19/20,Wolverhampton Wanderers,Burnley FC,1,1
19/20,AFC Bournemouth,Manchester City,1,3
18/19,Wolverhampton Wanderers,Manchester City,1,1
18/19,Arsenal FC,West Ham United,3,1
18/19,AFC Bournemouth,Everton FC,2,2
18/19,Huddersfield Town,Cardiff City,0,0
18/19,Southampton FC,Leicester City,1,2
18/19,Liverpool FC,Brighton & Hove Albion,1,0
18/19,Fulham FC,Burnley FC,4,2
18/19,Newcastle United,Chelsea FC,1,2
18/19,Watford FC,Crystal Palace,2,1
18/19,Manchester United,Tottenham Hotspur,0,3
17/18,AFC Bournemouth,Manchester City,1,2
17/18,Crystal Palace,Swansea City,0,2
17/18,Huddersfield Town,Southampton FC,0,0
17/18,Newcastle United,West Ham United,3,0
17/18,Watford FC,Brighton & Hove Albion,0,0
17/18,Manchester United,Leicester City,2,0
17/18,West Bromwich Albion,Stoke City,1,1
17/18,Liverpool FC,Arsenal FC,4,0
