sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,West Ham United,Nottingham Forest,1,2
25/26,Fulham,Chelsea FC,2,1
25/26,Brentford,Sunderland,3,0
25/26,Bournemouth,Tottenham Hotspur,3,2
25/26,Manchester City,Brighton & Hove Albion,1,1
25/26,Everton,Wolverhampton Wanderers,1,1
25/26,Crystal Palace,Aston Villa,0,0
25/26,Burnley,Manchester United,2,2
25/26,Newcastle United,Leeds United,4,3
25/26,Arsenal,Liverpool,0,0
24/25,West Ham United FC,Fulham FC,3,2
24/25,Brentford FC,Manchester City FC,2,2
24/25,Chelsea FC,AFC Bournemouth,2,2
24/25,Nottingham Forest FC,Liverpool FC,1,1
24/25,Everton FC,Aston Villa FC,0,1
24/25,Leicester City FC,Crystal Palace FC,0,2
24/25,Newcastle United FC,Wolverhampton Wanderers FC,3,0
24/25,Arsenal FC,Tottenham Hotspur FC,2,1
24/25,Ipswich Town FC,Brighton & Hove Albion FC,0,2
24/25,Manchester United FC,Southampton FC,3,1
23/24,Burnley FC,Luton Town FC,1,1
23/24,Chelsea FC,Fulham FC,1,0
23/24,Newcastle United FC,Manchester City FC,2,3
23/24,Everton FC,Aston Villa FC,0,0
23/24,Manchester United FC,Tottenham Hotspur FC,2,2
23/24,Arsenal FC,Crystal Palace FC,5,0
23/24,Brentford FC,Nottingham Forest FC,3,2
23/24,Sheffield United FC,West Ham United FC,2,2
23/24,AFC Bournemouth,Liverpool FC,0,4
23/24,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,0,0
22/23,Liverpool FC,Chelsea FC,0,0
22/23,West Ham United FC,Everton FC,2,0
22/23,Southampton FC,Aston Villa FC,0,1
22/23,Leicester City FC,Brighton & Hove Albion FC,2,2
22/23,AFC Bournemouth,Nottingham Forest FC,1,1
22/23,Crystal Palace FC,Newcastle United FC,0,0
22/23,Manchester City FC,Wolverhampton Wanderers FC,3,0
22/23,Leeds United FC,Brentford FC,0,0
22/23,Arsenal FC,Manchester United FC,3,2
22/23,Fulham FC,Tottenham Hotspur FC,0,1
21/22,Arsenal FC,Manchester City FC,1,2
21/22,Watford FC,Tottenham Hotspur FC,0,1
21/22,Crystal Palace FC,West Ham United FC,2,3
21/22,Leeds United FC,Burnley FC,3,1
21/22,Everton FC,Brighton & Hove Albion FC,2,3
21/22,Brentford FC,Aston Villa FC,2,1
21/22,Chelsea FC,Liverpool FC,2,2
21/22,Manchester United FC,Wolverhampton Wanderers FC,0,1
21/22,Southampton FC,Newcastle United FC,1,2
21/22,Leicester City FC,Norwich City FC,3,0
20/21,Everton FC,Newcastle United FC,0,2
20/21,Manchester City FC,Sheffield United FC,1,0
20/21,West Bromwich Albion FC,Fulham FC,2,2
20/21,Crystal Palace FC,Wolverhampton Wanderers FC,1,0
20/21,Arsenal FC,Manchester United FC,0,0
20/21,Southampton FC,Aston Villa FC,0,1
20/21,Chelsea FC,Burnley FC,2,0
20/21,Leicester City FC,Leeds United FC,1,3
20/21,West Ham United FC,Liverpool FC,1,3
20/21,Brighton & Hove Albion FC,Tottenham Hotspur FC,1,0
19/20,Norwich City,Crystal Palace,1,1
19/20,Brighton & Hove Albion,Chelsea FC,1,1
19/20,Burnley FC,Aston Villa,1,2
19/20,Newcastle United,Leicester City,0,3
19/20,Southampton FC,Tottenham Hotspur,1,0
19/20,Watford FC,Wolverhampton Wanderers,2,1
19/20,Manchester City,Everton FC,2,1
19/20,Arsenal FC,Manchester United,2,0
19/20,West Ham United,AFC Bournemouth,4,0
19/20,Liverpool FC,Sheffield United,2,0
18/19,Arsenal FC,Fulham FC,4,1
