sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Sunderland,Bournemouth,3,2
25/26,Manchester City,Leeds United,3,2
25/26,Brentford,Burnley,3,1
25/26,Everton,Newcastle United,1,4
25/26,Tottenham Hotspur,Fulham,1,2
25/26,Crystal Palace,Manchester United,1,2
25/26,West Ham United,Liverpool,0,2
25/26,Aston Villa,Wolverhampton Wanderers,1,0
25/26,Nottingham Forest,Brighton & Hove Albion,0,2
25/26,Chelsea FC,Arsenal,1,1
24/25,Brighton & Hove Albion FC,Southampton FC,1,1
24/25,Brentford FC,Leicester City FC,4,1
24/25,Crystal Palace FC,Newcastle United FC,1,1
24/25,Nottingham Forest FC,Ipswich Town FC,1,0
24/25,Wolverhampton Wanderers FC,AFC Bournemouth,2,4
24/25,West Ham United FC,Arsenal FC,2,5
24/25,Chelsea FC,Aston Villa FC,3,0
24/25,Manchester United FC,Everton FC,4,0
24/25,Tottenham Hotspur FC,Fulham FC,1,1
24/25,Liverpool FC,Manchester City FC,2,0
23/24,Manchester City FC,Liverpool FC,1,1
23/24,Burnley FC,West Ham United FC,1,2
23/24,Luton Town FC,Crystal Palace FC,2,1
23/24,Newcastle United FC,Chelsea FC,4,1
23/24,Nottingham Forest FC,Brighton & Hove Albion FC,2,3
23/24,Sheffield United FC,AFC Bournemouth,1,3
23/24,Brentford FC,Arsenal FC,0,1
23/24,Tottenham Hotspur FC,Aston Villa FC,1,2
23/24,Everton FC,Manchester United FC,0,3
23/24,Fulham FC,Wolverhampton Wanderers FC,3,2
22/23,Nottingham Forest FC,Liverpool FC,1,0
22/23,Manchester City FC,Brighton & Hove Albion FC,3,1
22/23,Everton FC,Crystal Palace FC,3,0
22/23,Chelsea FC,Manchester United FC,1,1
22/23,Southampton FC,Arsenal FC,1,1
22/23,Leeds United FC,Fulham FC,2,3
22/23,Aston Villa FC,Brentford FC,4,0
22/23,Wolverhampton Wanderers FC,Leicester City FC,0,4
22/23,Tottenham Hotspur FC,Newcastle United FC,1,2
22/23,West Ham United FC,AFC Bournemouth,2,0
21/22,Arsenal FC,Newcastle United FC,2,0
21/22,Norwich City FC,Wolverhampton Wanderers FC,0,0
21/22,Liverpool FC,Southampton FC,4,0
21/22,Crystal Palace FC,Aston Villa FC,1,2
21/22,Brighton & Hove Albion FC,Leeds United FC,0,0
21/22,Manchester City FC,West Ham United FC,2,1
21/22,Leicester City FC,Watford FC,4,2
21/22,Brentford FC,Everton FC,1,0
21/22,Chelsea FC,Manchester United FC,1,1
21/22,Burnley FC,Tottenham Hotspur FC,1,0
20/21,Wolverhampton Wanderers FC,Chelsea FC,2,1
20/21,Manchester City FC,West Bromwich Albion FC,1,1
20/21,Arsenal FC,Southampton FC,1,1
20/21,Leicester City FC,Everton FC,0,2
20/21,Leeds United FC,Newcastle United FC,5,2
20/21,Fulham FC,Brighton & Hove Albion FC,0,0
20/21,West Ham United FC,Crystal Palace FC,1,1
20/21,Liverpool FC,Tottenham Hotspur FC,2,1
20/21,Aston Villa FC,Burnley FC,0,0
20/21,Sheffield United FC,Manchester United FC,2,3
19/20,West Ham United,Tottenham Hotspur,2,3
19/20,AFC Bournemouth,Wolverhampton Wanderers,1,2
19/20,Arsenal FC,Southampton FC,2,2
19/20,Brighton & Hove Albion,Leicester City,0,2
19/20,Crystal Palace,Liverpool FC,1,2
19/20,Everton FC,Norwich City,0,2
19/20,Watford FC,Burnley FC,0,3
19/20,Manchester City,Chelsea FC,2,1
19/20,Sheffield United,Manchester United,3,3
19/20,Aston Villa,Newcastle United,2,0
18/19,Brighton & Hove Albion,Leicester City,1,1
18/19,Everton FC,Cardiff City,1,0
18/19,Fulham FC,Southampton FC,3,2
18/19,Manchester United,Crystal Palace,0,0
18/19,Watford FC,Liverpool FC,0,3
18/19,West Ham United,Manchester City,0,4
18/19,Tottenham Hotspur,Chelsea FC,3,1
18/19,Wolverhampton Wanderers,Huddersfield Town,0,2
18/19,AFC Bournemouth,Arsenal FC,1,2
18/19,Burnley FC,Newcastle United,1,2
17/18,West Ham United,Leicester City,1,1
17/18,Manchester United,Brighton & Hove Albion,1,0
17/18,Newcastle United,Watford FC,0,3
17/18,Swansea City,AFC Bournemouth,0,0
17/18,Tottenham Hotspur,West Bromwich Albion,1,1
17/18,Liverpool FC,Chelsea FC,1,1
17/18,Crystal Palace,Stoke City,2,1
17/18,Southampton FC,Everton FC,4,1
17/18,Burnley FC,Arsenal FC,0,1
17/18,Huddersfield Town,Manchester City,1,2
16/17,Hull City,West Bromwich Albion,1,1
16/17,Leicester City,Middlesbrough FC,2,2
16/17,Liverpool FC,Sunderland AFC,2,0
16/17,Swansea City,Crystal Palace,5,4
16/17,Chelsea FC,Tottenham Hotspur,2,1
16/17,Burnley FC,Manchester City,1,2
16/17,Watford FC,Stoke City,0,1
16/17,Arsenal FC,AFC Bournemouth,3,1
16/17,Manchester United,West Ham United,1,1
16/17,Southampton FC,Everton FC,1,0
15/16,Watford FC,Manchester United,1,2
15/16,Chelsea FC,Norwich City,1,0
15/16,Everton FC,Aston Villa,4,0
15/16,Newcastle United,Leicester City,0,3
15/16,Southampton FC,Stoke City,0,1
15/16,Swansea City,AFC Bournemouth,2,2
15/16,West Bromwich Albion,Arsenal FC,2,1
15/16,Manchester City,Liverpool FC,1,4
15/16,Tottenham Hotspur,West Ham United,4,1
15/16,Crystal Palace,Sunderland AFC,0,1
14/15,West Bromwich Albion,Arsenal FC,0,1
14/15,Burnley FC,Aston Villa,1,1
14/15,Liverpool FC,Stoke City,1,0
14/15,Manchester United,Hull City,3,0
14/15,Queens Park Rangers,Leicester City,3,2
14/15,Swansea City,Crystal Palace,1,1
14/15,West Ham United,Newcastle United,1,0
14/15,Sunderland AFC,Chelsea FC,0,0
14/15,Southampton FC,Manchester City,0,3
14/15,Tottenham Hotspur,Everton FC,2,1
13/14,Aston Villa,Sunderland AFC,0,0
13/14,Cardiff City,Arsenal FC,0,3
13/14,Everton FC,Stoke City,4,0
13/14,Norwich City,Crystal Palace,1,0
13/14,West Ham United,Fulham FC,3,0
13/14,Newcastle United,West Bromwich Albion,2,1
13/14,Hull City,Liverpool FC,3,1
13/14,Chelsea FC,Southampton FC,3,1
13/14,Manchester City,Swansea City,3,0
13/14,Tottenham Hotspur,Manchester United,2,2
12/13,Sunderland AFC,West Bromwich Albion,2,4
12/13,Everton FC,Norwich City,1,1
12/13,Manchester United,Queens Park Rangers,3,1
12/13,Stoke City,Fulham FC,1,0
12/13,Wigan Athletic,Reading FC,3,2
12/13,Aston Villa,Arsenal FC,0,0
12/13,Chelsea FC,Manchester City,0,0
12/13,Swansea City,Liverpool FC,0,0
12/13,Southampton FC,Newcastle United,2,0
12/13,Tottenham Hotspur,West Ham United,3,1
11/12,Arsenal FC,Fulham FC,1,1
11/12,Stoke City,Blackburn Rovers,3,1
11/12,Bolton Wanderers,Everton FC,0,2
11/12,Chelsea FC,Wolverhampton Wanderers,3,0
11/12,Manchester United,Newcastle United,1,1
11/12,Norwich City,Queens Park Rangers,2,1
11/12,Sunderland AFC,Wigan Athletic,1,2
11/12,West Bromwich Albion,Tottenham Hotspur,1,3
11/12,Swansea City,Aston Villa,0,0
11/12,Liverpool FC,Manchester City,1,1
10/11,Aston Villa,Manchester United,2,2
10/11,Wolverhampton Wanderers,Bolton Wanderers,2,3
10/11,Wigan Athletic,West Bromwich Albion,1,0
10/11,Newcastle United,Fulham FC,0,0
10/11,West Ham United,Blackpool FC,0,0
10/11,Tottenham Hotspur,Blackburn Rovers,4,2
10/11,Manchester City,Birmingham City,0,0
10/11,Stoke City,Liverpool FC,2,0
10/11,Chelsea FC,Sunderland AFC,0,3
10/11,Everton FC,Arsenal FC,1,2
09/10,Hull City,West Ham United,3,3
09/10,Sunderland AFC,Arsenal FC,1,0
09/10,Manchester United,Everton FC,3,0
09/10,Liverpool FC,Manchester City,2,2
09/10,Birmingham City,Fulham FC,1,0
09/10,Burnley FC,Aston Villa,1,1
09/10,Chelsea FC,Wolverhampton Wanderers,4,0
09/10,Bolton Wanderers,Blackburn Rovers,0,2
09/10,Stoke City,Portsmouth FC,1,0
09/10,Tottenham Hotspur,Wigan Athletic,9,1
08/09,Manchester United,Stoke City,5,0
08/09,Bolton Wanderers,Liverpool FC,0,2
08/09,Arsenal FC,Aston Villa,0,2
08/09,Blackburn Rovers,Sunderland AFC,1,2
08/09,Fulham FC,Tottenham Hotspur,2,1
08/09,West Ham United,Portsmouth FC,0,0
08/09,Newcastle United,Wigan Athletic,2,2
08/09,West Bromwich Albion,Chelsea FC,0,3
08/09,Everton FC,Middlesbrough FC,1,1
08/09,Hull City,Manchester City,2,2
07/08,Sunderland AFC,Newcastle United,1,1
07/08,Derby County,West Ham United,0,5
07/08,Liverpool FC,Fulham FC,2,0
07/08,Portsmouth FC,Manchester City,0,0
07/08,Manchester United,Blackburn Rovers,2,0
07/08,Birmingham City,Aston Villa,1,2
07/08,Chelsea FC,Everton FC,1,1
07/08,Bolton Wanderers,Middlesbrough FC,0,0
07/08,Tottenham Hotspur,Wigan Athletic,4,0
07/08,Reading FC,Arsenal FC,1,3
