sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Aston Villa,Arsenal,2,1
25/26,Bournemouth,Chelsea FC,0,0
25/26,Manchester City,Sunderland,3,0
25/26,Everton,Nottingham Forest,3,0
25/26,Tottenham Hotspur,Brentford,2,0
25/26,Newcastle United,Burnley,2,1
25/26,Leeds United,Liverpool,3,3
25/26,Brighton & Hove Albion,West Ham United,1,1
25/26,Fulham,Crystal Palace,1,2
25/26,Wolverhampton Wanderers,Manchester United,1,4
24/25,Aston Villa FC,Southampton FC,1,0
24/25,Brentford FC,Newcastle United FC,4,2
24/25,Crystal Palace FC,Manchester City FC,2,2
24/25,Manchester United FC,Nottingham Forest FC,2,3
24/25,Fulham FC,Arsenal FC,1,1
24/25,Ipswich Town FC,AFC Bournemouth,1,2
24/25,Leicester City FC,Brighton & Hove Albion FC,2,2
24/25,Tottenham Hotspur FC,Chelsea FC,3,4
24/25,West Ham United FC,Wolverhampton Wanderers FC,2,1
24/25,Everton FC,Liverpool FC,2,2
23/24,Wolverhampton Wanderers FC,Burnley FC,1,0
23/24,Luton Town FC,Arsenal FC,3,4
23/24,Brighton & Hove Albion FC,Brentford FC,2,1
23/24,Fulham FC,Nottingham Forest FC,5,0
23/24,Sheffield United FC,Liverpool FC,0,2
23/24,Crystal Palace FC,AFC Bournemouth,0,2
23/24,Aston Villa FC,Manchester City FC,1,0
23/24,Manchester United FC,Chelsea FC,2,1
23/24,Everton FC,Newcastle United FC,3,0
23/24,Tottenham Hotspur FC,West Ham United FC,1,2
22/23,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,2,3
22/23,Nottingham Forest FC,Brentford FC,2,2
22/23,Manchester City FC,Fulham FC,2,1
22/23,Leeds United FC,AFC Bournemouth,4,3
22/23,Everton FC,Leicester City FC,0,2
22/23,Chelsea FC,Arsenal FC,0,1
22/23,West Ham United FC,Crystal Palace FC,1,2
22/23,Southampton FC,Newcastle United FC,1,4
22/23,Aston Villa FC,Manchester United FC,3,1
22/23,Tottenham Hotspur FC,Liverpool FC,1,2
21/22,West Ham United FC,Chelsea FC,3,2
