sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Aston Villa,Liverpool,4,2
25/26,Manchester United,Nottingham Forest,3,2
25/26,Brentford,Crystal Palace,2,2
25/26,Wolverhampton Wanderers,Fulham,1,1
25/26,Everton,Sunderland,1,3
25/26,Leeds United,Brighton & Hove Albion,1,0
25/26,Newcastle United,West Ham United,3,1
25/26,Arsenal,Burnley,1,0
25/26,Bournemouth,Manchester City,1,1
25/26,Chelsea FC,Tottenham Hotspur,2,1
24/25,Aston Villa FC,Tottenham Hotspur FC,2,0
24/25,Chelsea FC,Manchester United FC,1,0
24/25,Everton FC,Southampton FC,2,0
24/25,West Ham United FC,Nottingham Forest FC,1,2
24/25,Brentford FC,Fulham FC,2,3
24/25,Leicester City FC,Ipswich Town FC,2,0
24/25,Arsenal FC,Newcastle United FC,1,0
24/25,Brighton & Hove Albion FC,Liverpool FC,3,2
24/25,Crystal Palace FC,Wolverhampton Wanderers FC,4,2
24/25,Manchester City FC,AFC Bournemouth,3,1
23/24,Fulham FC,Manchester City FC,0,4
23/24,AFC Bournemouth,Brentford FC,1,2
23/24,Everton FC,Sheffield United FC,1,0
23/24,Newcastle United FC,Brighton & Hove Albion FC,1,1
23/24,Tottenham Hotspur FC,Burnley FC,2,1
23/24,West Ham United FC,Luton Town FC,3,1
23/24,Wolverhampton Wanderers FC,Crystal Palace FC,1,3
23/24,Nottingham Forest FC,Chelsea FC,2,3
23/24,Manchester United FC,Arsenal FC,0,1
23/24,Aston Villa FC,Liverpool FC,3,3
22/23,Tottenham Hotspur FC,Brentford FC,1,3
22/23,Wolverhampton Wanderers FC,Everton FC,1,1
22/23,Liverpool FC,Aston Villa FC,1,1
22/23,Fulham FC,Crystal Palace FC,2,2
22/23,AFC Bournemouth,Manchester United FC,0,1
22/23,Nottingham Forest FC,Arsenal FC,1,0
22/23,West Ham United FC,Leeds United FC,3,1
22/23,Brighton & Hove Albion FC,Southampton FC,3,1
22/23,Manchester City FC,Chelsea FC,1,0
