sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Burnley,Chelsea FC,0,2
25/26,Liverpool,Nottingham Forest,0,3
25/26,Wolverhampton Wanderers,Crystal Palace,0,2
25/26,Fulham,Sunderland,1,0
25/26,Bournemouth,West Ham United,2,2
25/26,Brighton & Hove Albion,Brentford,2,1
25/26,Newcastle United,Manchester City,2,1
25/26,Leeds United,Aston Villa,1,2
25/26,Arsenal,Tottenham Hotspur,4,1
25/26,Manchester United,Everton,0,1
24/25,Leicester City FC,Chelsea FC,1,2
24/25,AFC Bournemouth,Brighton & Hove Albion FC,1,2
24/25,Arsenal FC,Nottingham Forest FC,3,0
24/25,Aston Villa FC,Crystal Palace FC,2,2
24/25,Everton FC,Brentford FC,0,0
24/25,Fulham FC,Wolverhampton Wanderers FC,1,4
24/25,Manchester City FC,Tottenham Hotspur FC,0,4
24/25,Southampton FC,Liverpool FC,2,3
24/25,Ipswich Town FC,Manchester United FC,1,1
24/25,Newcastle United FC,West Ham United FC,0,2
23/24,Wolverhampton Wanderers FC,Tottenham Hotspur FC,2,1
23/24,Arsenal FC,Burnley FC,3,1
23/24,Crystal Palace FC,Everton FC,2,3
23/24,Manchester United FC,Luton Town FC,1,0
23/24,AFC Bournemouth,Newcastle United FC,2,0
23/24,Aston Villa FC,Fulham FC,3,1
23/24,Brighton & Hove Albion FC,Sheffield United FC,1,1
23/24,Liverpool FC,Brentford FC,3,0
23/24,West Ham United FC,Nottingham Forest FC,3,2
23/24,Chelsea FC,Manchester City FC,4,4
22/23,Brighton & Hove Albion FC,Nottingham Forest FC,0,0
22/23,Crystal Palace FC,Wolverhampton Wanderers FC,2,1
22/23,Liverpool FC,West Ham United FC,1,0
22/23,Newcastle United FC,Everton FC,1,0
22/23,Brentford FC,Chelsea FC,0,0
22/23,AFC Bournemouth,Southampton FC,0,1
22/23,Manchester United FC,Tottenham Hotspur FC,2,0
22/23,Fulham FC,Aston Villa FC,3,0
22/23,Leicester City FC,Leeds United FC,2,0
22/23,Arsenal FC,Manchester City FC,1,3
21/22,Leicester City FC,Chelsea FC,0,3
21/22,Wolverhampton Wanderers FC,West Ham United FC,1,0
21/22,Watford FC,Manchester United FC,4,1
21/22,Norwich City FC,Southampton FC,2,1
21/22,Newcastle United FC,Brentford FC,3,3
21/22,Burnley FC,Crystal Palace FC,3,3
21/22,Aston Villa FC,Brighton & Hove Albion FC,2,0
21/22,Liverpool FC,Arsenal FC,4,0
21/22,Manchester City FC,Everton FC,3,0
21/22,Tottenham Hotspur FC,Leeds United FC,2,1
20/21,Leeds United FC,West Ham United FC,1,2
20/21,Wolverhampton Wanderers FC,Aston Villa FC,0,1
20/21,Newcastle United FC,West Bromwich Albion FC,2,1
20/21,Manchester United FC,Manchester City FC,0,0
20/21,Everton FC,Chelsea FC,1,0
20/21,Southampton FC,Sheffield United FC,3,0
20/21,Crystal Palace FC,Tottenham Hotspur FC,1,1
20/21,Fulham FC,Liverpool FC,1,1
20/21,Leicester City FC,Brighton & Hove Albion FC,3,0
20/21,Arsenal FC,Burnley FC,0,1
19/20,Norwich City,Watford FC,0,2
19/20,Chelsea FC,Crystal Palace,2,0
19/20,Burnley FC,West Ham United,3,0
19/20,Newcastle United,AFC Bournemouth,2,1
19/20,Southampton FC,Everton FC,1,2
19/20,Tottenham Hotspur,Sheffield United,1,1
19/20,Leicester City,Arsenal FC,2,0
19/20,Manchester United,Brighton & Hove Albion,3,1
19/20,Wolverhampton Wanderers,Aston Villa,2,1
19/20,Liverpool FC,Manchester City,3,1
18/19,Cardiff City,Brighton & Hove Albion,2,1
18/19,Huddersfield Town,West Ham United,1,1
18/19,Leicester City,Burnley FC,0,0
18/19,Newcastle United,AFC Bournemouth,2,1
18/19,Southampton FC,Watford FC,1,1
18/19,Crystal Palace,Tottenham Hotspur,0,1
18/19,Liverpool FC,Fulham FC,2,0
18/19,Chelsea FC,Everton FC,0,0
18/19,Arsenal FC,Wolverhampton Wanderers,1,1
18/19,Manchester City,Manchester United,3,1
17/18,AFC Bournemouth,Huddersfield Town,4,0
17/18,Burnley FC,Swansea City,2,0
17/18,Crystal Palace,Everton FC,2,2
17/18,Leicester City,Manchester City,0,2
17/18,Liverpool FC,Southampton FC,3,0
17/18,West Bromwich Albion,Chelsea FC,0,4
17/18,Manchester United,Newcastle United,4,1
17/18,Arsenal FC,Tottenham Hotspur,2,0
17/18,Watford FC,West Ham United,2,0
17/18,Brighton & Hove Albion,Stoke City,2,2
16/17,Crystal Palace,Manchester City,1,2
16/17,Everton FC,Swansea City,1,1
16/17,Southampton FC,Liverpool FC,0,0
16/17,Stoke City,AFC Bournemouth,0,1
16/17,Sunderland AFC,Hull City,3,0
16/17,Watford FC,Leicester City,2,1
16/17,Tottenham Hotspur,West Ham United,3,2
16/17,Manchester United,Arsenal FC,1,1
16/17,Middlesbrough FC,Chelsea FC,0,1
16/17,West Bromwich Albion,Burnley FC,4,0
15/16,AFC Bournemouth,Newcastle United,0,1
