sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Nottingham Forest,Chelsea FC,0,3
25/26,Sunderland,Wolverhampton Wanderers,2,0
25/26,Brighton & Hove Albion,Newcastle United,2,1
25/26,Manchester City,Everton,2,0
25/26,Crystal Palace,Bournemouth,3,3
25/26,Burnley,Leeds United,2,0
25/26,Fulham,Arsenal,0,1
25/26,Tottenham Hotspur,Aston Villa,1,2
25/26,Liverpool,Manchester United,1,2
25/26,West Ham United,Brentford,0,2
24/25,Tottenham Hotspur FC,West Ham United FC,4,1
24/25,Fulham FC,Aston Villa FC,1,3
24/25,Ipswich Town FC,Everton FC,0,2
24/25,Manchester United FC,Brentford FC,2,1
24/25,Newcastle United FC,Brighton & Hove Albion FC,0,1
24/25,Southampton FC,Leicester City FC,2,3
24/25,AFC Bournemouth,Arsenal FC,2,0
24/25,Wolverhampton Wanderers FC,Manchester City FC,1,2
24/25,Liverpool FC,Chelsea FC,2,1
24/25,Nottingham Forest FC,Crystal Palace FC,1,0
23/24,Luton Town FC,Tottenham Hotspur FC,0,1
23/24,Burnley FC,Chelsea FC,1,4
23/24,Everton FC,AFC Bournemouth,3,0
23/24,Fulham FC,Sheffield United FC,3,1
23/24,Manchester United FC,Brentford FC,2,1
23/24,Crystal Palace FC,Nottingham Forest FC,0,0
23/24,Brighton & Hove Albion FC,Liverpool FC,2,2
23/24,West Ham United FC,Newcastle United FC,2,2
23/24,Wolverhampton Wanderers FC,Aston Villa FC,1,1
23/24,Arsenal FC,Manchester City FC,1,0
22/23,Nottingham Forest FC,Fulham FC,2,3
22/23,Aston Villa FC,Southampton FC,1,0
22/23,Wolverhampton Wanderers FC,Manchester City FC,0,3
22/23,Newcastle United FC,AFC Bournemouth,1,1
22/23,Tottenham Hotspur FC,Leicester City FC,6,2
22/23,Brentford FC,Arsenal FC,0,3
22/23,Everton FC,West Ham United FC,1,0
22/23,Manchester United FC,Leeds United FC,2,2
22/23,Brighton & Hove Albion FC,Crystal Palace FC,1,0
22/23,Chelsea FC,Liverpool FC,0,0
21/22,Watford FC,Liverpool FC,0,5
21/22,Southampton FC,Leeds United FC,1,0
21/22,Norwich City FC,Brighton & Hove Albion FC,0,0
21/22,Manchester City FC,Burnley FC,2,0
21/22,Leicester City FC,Manchester United FC,4,2
21/22,Aston Villa FC,Wolverhampton Wanderers FC,2,3
21/22,Brentford FC,Chelsea FC,0,1
21/22,Everton FC,West Ham United FC,0,1
21/22,Newcastle United FC,Tottenham Hotspur FC,2,3
21/22,Arsenal FC,Crystal Palace FC,2,2
20/21,Brighton & Hove Albion FC,Burnley FC,0,0
20/21,Southampton FC,Newcastle United FC,2,0
20/21,Everton FC,Manchester United FC,1,3
20/21,Crystal Palace FC,Leeds United FC,4,1
20/21,Chelsea FC,Sheffield United FC,4,1
20/21,West Ham United FC,Fulham FC,1,0
20/21,West Bromwich Albion FC,Tottenham Hotspur FC,0,1
20/21,Leicester City FC,Wolverhampton Wanderers FC,1,0
20/21,Manchester City FC,Liverpool FC,1,1
20/21,Arsenal FC,Aston Villa FC,0,3
19/20,Brighton & Hove Albion,Tottenham Hotspur,3,0
19/20,Burnley FC,Everton FC,1,0
19/20,Liverpool FC,Leicester City,2,1
19/20,Norwich City,Aston Villa,1,5
19/20,Watford FC,Sheffield United,0,0
19/20,West Ham United,Crystal Palace,1,2
19/20,Manchester City,Wolverhampton Wanderers,0,2
19/20,Southampton FC,Chelsea FC,1,4
19/20,Newcastle United,Manchester United,1,0
19/20,Arsenal FC,AFC Bournemouth,1,0
18/19,Brighton & Hove Albion,West Ham United,1,0
18/19,Crystal Palace,Wolverhampton Wanderers,0,1
18/19,Leicester City,Everton FC,1,2
18/19,Tottenham Hotspur,Cardiff City,1,0
18/19,Watford FC,AFC Bournemouth,0,4
18/19,Manchester United,Newcastle United,3,2
18/19,Burnley FC,Huddersfield Town,1,1
18/19,Fulham FC,Arsenal FC,1,5
18/19,Southampton FC,Chelsea FC,0,3
18/19,Liverpool FC,Manchester City,0,0
17/18,Liverpool FC,Manchester United,0,0
17/18,Burnley FC,West Ham United,1,1
17/18,Crystal Palace,Chelsea FC,2,1
17/18,Manchester City,Stoke City,7,2
17/18,Swansea City,Huddersfield Town,2,0
17/18,Tottenham Hotspur,AFC Bournemouth,1,0
17/18,Watford FC,Arsenal FC,2,1
17/18,Southampton FC,Newcastle United,2,2
17/18,Brighton & Hove Albion,Everton FC,1,1
17/18,Leicester City,West Bromwich Albion,1,1
16/17,Chelsea FC,Leicester City,3,0
16/17,AFC Bournemouth,Hull City,6,1
16/17,Arsenal FC,Swansea City,3,2
16/17,Manchester City,Everton FC,1,1
16/17,Stoke City,Sunderland AFC,2,0
16/17,West Bromwich Albion,Tottenham Hotspur,1,1
16/17,Crystal Palace,West Ham United,0,1
16/17,Southampton FC,Burnley FC,3,1
16/17,Middlesbrough FC,Watford FC,0,1
16/17,Liverpool FC,Manchester United,0,0
15/16,AFC Bournemouth,Watford FC,1,1
15/16,Aston Villa,Stoke City,0,1
15/16,Manchester City,Newcastle United,6,1
15/16,Norwich City,Leicester City,1,2
15/16,Sunderland AFC,West Ham United,2,2
15/16,Chelsea FC,Southampton FC,1,3
15/16,Crystal Palace,West Bromwich Albion,2,0
15/16,Everton FC,Liverpool FC,1,1
15/16,Arsenal FC,Manchester United,3,0
15/16,Swansea City,Tottenham Hotspur,2,2
14/15,Manchester City,Tottenham Hotspur,4,1
14/15,Arsenal FC,Hull City,2,2
14/15,Burnley FC,West Ham United,1,3
14/15,Crystal Palace,Chelsea FC,1,2
14/15,Everton FC,Aston Villa,3,0
14/15,Southampton FC,Sunderland AFC,8,0
14/15,Newcastle United,Leicester City,1,0
14/15,Stoke City,Swansea City,2,1
14/15,Queens Park Rangers,Liverpool FC,2,3
14/15,West Bromwich Albion,Manchester United,2,2
13/14,Newcastle United,Liverpool FC,2,2
13/14,Arsenal FC,Norwich City,4,1
13/14,Chelsea FC,Cardiff City,4,1
13/14,Everton FC,Hull City,2,1
13/14,Manchester United,Southampton FC,1,1
13/14,Stoke City,West Bromwich Albion,0,0
13/14,Swansea City,Sunderland AFC,4,0
13/14,West Ham United,Manchester City,1,3
13/14,Aston Villa,Tottenham Hotspur,0,2
13/14,Crystal Palace,Fulham FC,1,4
12/13,Norwich City,Arsenal FC,1,0
12/13,Tottenham Hotspur,Chelsea FC,2,4
12/13,Fulham FC,Aston Villa,1,0
12/13,Liverpool FC,Reading FC,1,0
12/13,Manchester United,Stoke City,4,2
12/13,Swansea City,Wigan Athletic,2,1
12/13,West Bromwich Albion,Manchester City,1,2
12/13,West Ham United,Southampton FC,4,1
12/13,Sunderland AFC,Newcastle United,1,1
12/13,Queens Park Rangers,Everton FC,1,1
11/12,Liverpool FC,Manchester United,1,1
11/12,Manchester City,Aston Villa,4,1
11/12,Norwich City,Swansea City,3,1
11/12,Queens Park Rangers,Blackburn Rovers,1,1
11/12,Chelsea FC,Everton FC,3,1
11/12,Wigan Athletic,Bolton Wanderers,1,3
11/12,Stoke City,Fulham FC,2,0
11/12,West Bromwich Albion,Wolverhampton Wanderers,2,0
11/12,Arsenal FC,Sunderland AFC,2,1
11/12,Newcastle United,Tottenham Hotspur,2,2
10/11,Fulham FC,Tottenham Hotspur,1,2
10/11,Wolverhampton Wanderers,West Ham United,1,1
10/11,Arsenal FC,Birmingham City,2,1
10/11,Bolton Wanderers,Stoke City,2,1
10/11,Manchester United,West Bromwich Albion,2,2
10/11,Newcastle United,Wigan Athletic,2,2
10/11,Aston Villa,Chelsea FC,0,0
10/11,Blackpool FC,Manchester City,2,3
10/11,Everton FC,Liverpool FC,2,0
10/11,Blackburn Rovers,Sunderland AFC,0,0
09/10,Bolton Wanderers,Tottenham Hotspur,2,2
09/10,Burnley FC,Birmingham City,2,1
09/10,Wolverhampton Wanderers,Portsmouth FC,0,1
09/10,Hull City,Wigan Athletic,2,1
09/10,Manchester United,Sunderland AFC,2,2
09/10,Arsenal FC,Blackburn Rovers,6,2
09/10,Chelsea FC,Liverpool FC,2,0
09/10,West Ham United,Fulham FC,2,2
09/10,Everton FC,Stoke City,1,1
09/10,Aston Villa,Manchester City,1,1
08/09,Middlesbrough FC,Chelsea FC,0,5
08/09,Manchester United,West Bromwich Albion,4,0
08/09,Arsenal FC,Everton FC,3,1
08/09,Aston Villa,Portsmouth FC,0,0
08/09,Bolton Wanderers,Blackburn Rovers,0,0
08/09,Fulham FC,Sunderland AFC,0,0
08/09,Liverpool FC,Wigan Athletic,3,2
08/09,Hull City,West Ham United,1,0
08/09,Stoke City,Tottenham Hotspur,2,1
08/09,Newcastle United,Manchester City,2,2
07/08,Sunderland AFC,Blackburn Rovers,1,2
07/08,Birmingham City,Manchester United,0,1
07/08,Wigan Athletic,Liverpool FC,0,1
07/08,Manchester City,Newcastle United,3,1
07/08,Chelsea FC,Fulham FC,0,0
07/08,Derby County,Bolton Wanderers,1,1
07/08,Portsmouth FC,Reading FC,7,4
07/08,West Ham United,Arsenal FC,0,1
07/08,Everton FC,Middlesbrough FC,2,0
07/08,Tottenham Hotspur,Aston Villa,4,4
06/07,Reading FC,Chelsea FC,0,1
06/07,Wigan Athletic,Manchester United,1,3
06/07,Aston Villa,Tottenham Hotspur,1,1
06/07,Arsenal FC,Watford FC,3,0
06/07,Middlesbrough FC,Everton FC,2,1
